"scientific_name","timePeriod","n_grids"
"Acrocephalus dumetorum","2000-2006",109
"Acrocephalus dumetorum","2007-2010",188
"Acrocephalus dumetorum","2011-2012",161
"Acrocephalus dumetorum","2013",138
"Acrocephalus dumetorum","2014",243
"Acrocephalus dumetorum","2015",330
"Acrocephalus dumetorum","2016",430
"Acrocephalus dumetorum","2017",535
"Acrocephalus dumetorum","2018",633
"Acrocephalus dumetorum","2019",705
"Acrocephalus dumetorum","2020",782
"Acrocephalus dumetorum","2021",859
"Acrocephalus dumetorum","2022",667
"Acrocephalus dumetorum","pre2000",191
"Acrocephalus melanopogon","2000-2006",2
"Acrocephalus melanopogon","2011-2012",2
"Acrocephalus melanopogon","2013",2
"Acrocephalus melanopogon","2014",3
"Acrocephalus melanopogon","2015",6
"Acrocephalus melanopogon","2016",7
"Acrocephalus melanopogon","2017",5
"Acrocephalus melanopogon","2018",8
"Acrocephalus melanopogon","2019",24
"Acrocephalus melanopogon","2020",18
"Acrocephalus melanopogon","2021",16
"Acrocephalus melanopogon","2022",10
"Acrocephalus orientalis","2000-2006",1
"Acrocephalus orientalis","2013",3
"Acrocephalus orientalis","2015",1
"Acrocephalus orientalis","2017",2
"Acrocephalus orientalis","2018",3
"Acrocephalus orientalis","2019",4
"Acrocephalus orientalis","2020",3
"Acrocephalus orientalis","2021",3
"Acrocephalus orientalis","2022",2
"Acrocephalus orientalis","pre2000",1
"Acrocephalus orinus","2007-2010",1
"Acrocephalus orinus","2017",2
"Acrocephalus orinus","pre2000",3
"Acrocephalus schoenobaenus","pre2000",2
"Acrocephalus stentoreus","2000-2006",32
"Acrocephalus stentoreus","2007-2010",54
"Acrocephalus stentoreus","2011-2012",57
"Acrocephalus stentoreus","2013",58
"Acrocephalus stentoreus","2014",116
"Acrocephalus stentoreus","2015",148
"Acrocephalus stentoreus","2016",214
"Acrocephalus stentoreus","2017",275
"Acrocephalus stentoreus","2018",317
"Acrocephalus stentoreus","2019",358
"Acrocephalus stentoreus","2020",418
"Acrocephalus stentoreus","2021",438
"Acrocephalus stentoreus","2022",324
"Acrocephalus stentoreus","pre2000",72
"Actinodura cyanouroptera","2000-2006",16
"Actinodura cyanouroptera","2007-2010",23
"Actinodura cyanouroptera","2011-2012",18
"Actinodura cyanouroptera","2013",14
"Actinodura cyanouroptera","2014",23
"Actinodura cyanouroptera","2015",37
"Actinodura cyanouroptera","2016",43
"Actinodura cyanouroptera","2017",49
"Actinodura cyanouroptera","2018",56
"Actinodura cyanouroptera","2019",54
"Actinodura cyanouroptera","2020",43
"Actinodura cyanouroptera","2021",65
"Actinodura cyanouroptera","2022",60
"Actinodura cyanouroptera","pre2000",12
"Actinodura egertoni","2000-2006",11
"Actinodura egertoni","2007-2010",9
"Actinodura egertoni","2011-2012",9
"Actinodura egertoni","2013",8
"Actinodura egertoni","2014",16
"Actinodura egertoni","2015",21
"Actinodura egertoni","2016",21
"Actinodura egertoni","2017",23
"Actinodura egertoni","2018",32
"Actinodura egertoni","2019",24
"Actinodura egertoni","2020",16
"Actinodura egertoni","2021",39
"Actinodura egertoni","2022",38
"Actinodura egertoni","pre2000",10
"Actinodura nipalensis","2000-2006",3
"Actinodura nipalensis","2007-2010",1
"Actinodura nipalensis","2011-2012",4
"Actinodura nipalensis","2013",2
"Actinodura nipalensis","2014",6
"Actinodura nipalensis","2015",7
"Actinodura nipalensis","2016",5
"Actinodura nipalensis","2017",8
"Actinodura nipalensis","2018",8
"Actinodura nipalensis","2019",11
"Actinodura nipalensis","2020",7
"Actinodura nipalensis","2021",13
"Actinodura nipalensis","2022",13
"Actinodura nipalensis","pre2000",4
"Actinodura strigula","2000-2006",9
"Actinodura strigula","2007-2010",20
"Actinodura strigula","2011-2012",15
"Actinodura strigula","2013",14
"Actinodura strigula","2014",29
"Actinodura strigula","2015",27
"Actinodura strigula","2016",40
"Actinodura strigula","2017",37
"Actinodura strigula","2018",52
"Actinodura strigula","2019",53
"Actinodura strigula","2020",31
"Actinodura strigula","2021",48
"Actinodura strigula","2022",48
"Actinodura strigula","pre2000",19
"Actinodura waldeni","2000-2006",4
"Actinodura waldeni","2007-2010",4
"Actinodura waldeni","2011-2012",4
"Actinodura waldeni","2013",6
"Actinodura waldeni","2014",7
"Actinodura waldeni","2015",6
"Actinodura waldeni","2016",5
"Actinodura waldeni","2017",5
"Actinodura waldeni","2018",10
"Actinodura waldeni","2019",8
"Actinodura waldeni","2020",4
"Actinodura waldeni","2021",7
"Actinodura waldeni","2022",4
"Actinodura waldeni","pre2000",1
"Actitis hypoleucos","2000-2006",152
"Actitis hypoleucos","2007-2010",245
"Actitis hypoleucos","2011-2012",242
"Actitis hypoleucos","2013",229
"Actitis hypoleucos","2014",374
"Actitis hypoleucos","2015",504
"Actitis hypoleucos","2016",638
"Actitis hypoleucos","2017",775
"Actitis hypoleucos","2018",873
"Actitis hypoleucos","2019",997
"Actitis hypoleucos","2020",1067
"Actitis hypoleucos","2021",1173
"Actitis hypoleucos","2022",963
"Actitis hypoleucos","pre2000",284
"Aegithalos concinnus","2000-2006",33
"Aegithalos concinnus","2007-2010",33
"Aegithalos concinnus","2011-2012",32
"Aegithalos concinnus","2013",35
"Aegithalos concinnus","2014",53
"Aegithalos concinnus","2015",62
"Aegithalos concinnus","2016",77
"Aegithalos concinnus","2017",93
"Aegithalos concinnus","2018",106
"Aegithalos concinnus","2019",106
"Aegithalos concinnus","2020",94
"Aegithalos concinnus","2021",117
"Aegithalos concinnus","2022",126
"Aegithalos concinnus","pre2000",37
"Aegithalos iouschistos","2000-2006",2
"Aegithalos iouschistos","2007-2010",2
"Aegithalos iouschistos","2011-2012",3
"Aegithalos iouschistos","2013",1
"Aegithalos iouschistos","2014",4
"Aegithalos iouschistos","2015",4
"Aegithalos iouschistos","2016",6
"Aegithalos iouschistos","2017",8
"Aegithalos iouschistos","2018",9
"Aegithalos iouschistos","2019",12
"Aegithalos iouschistos","2020",5
"Aegithalos iouschistos","2021",12
"Aegithalos iouschistos","2022",10
"Aegithalos niveogularis","2000-2006",1
"Aegithalos niveogularis","2011-2012",1
"Aegithalos niveogularis","2013",1
"Aegithalos niveogularis","2014",3
"Aegithalos niveogularis","2015",5
"Aegithalos niveogularis","2016",8
"Aegithalos niveogularis","2017",10
"Aegithalos niveogularis","2018",9
"Aegithalos niveogularis","2019",9
"Aegithalos niveogularis","2020",9
"Aegithalos niveogularis","2021",7
"Aegithalos niveogularis","2022",5
"Aegithalos niveogularis","pre2000",6
"Aegithina nigrolutea","2000-2006",14
"Aegithina nigrolutea","2007-2010",18
"Aegithina nigrolutea","2011-2012",9
"Aegithina nigrolutea","2013",5
"Aegithina nigrolutea","2014",8
"Aegithina nigrolutea","2015",11
"Aegithina nigrolutea","2016",11
"Aegithina nigrolutea","2017",11
"Aegithina nigrolutea","2018",33
"Aegithina nigrolutea","2019",44
"Aegithina nigrolutea","2020",39
"Aegithina nigrolutea","2021",65
"Aegithina nigrolutea","2022",37
"Aegithina nigrolutea","pre2000",15
"Aegithina tiphia","2000-2006",176
"Aegithina tiphia","2007-2010",185
"Aegithina tiphia","2011-2012",165
"Aegithina tiphia","2013",161
"Aegithina tiphia","2014",353
"Aegithina tiphia","2015",477
"Aegithina tiphia","2016",584
"Aegithina tiphia","2017",732
"Aegithina tiphia","2018",797
"Aegithina tiphia","2019",897
"Aegithina tiphia","2020",928
"Aegithina tiphia","2021",1140
"Aegithina tiphia","2022",1065
"Aegithina tiphia","pre2000",280
"Aegypius monachus","2000-2006",12
"Aegypius monachus","2007-2010",8
"Aegypius monachus","2011-2012",9
"Aegypius monachus","2013",11
"Aegypius monachus","2014",14
"Aegypius monachus","2015",16
"Aegypius monachus","2016",33
"Aegypius monachus","2017",39
"Aegypius monachus","2018",43
"Aegypius monachus","2019",39
"Aegypius monachus","2020",41
"Aegypius monachus","2021",54
"Aegypius monachus","2022",43
"Aegypius monachus","pre2000",14
"Aerodramus brevirostris","2000-2006",23
"Aerodramus brevirostris","2007-2010",14
"Aerodramus brevirostris","2011-2012",27
"Aerodramus brevirostris","2013",19
"Aerodramus brevirostris","2014",21
"Aerodramus brevirostris","2015",45
"Aerodramus brevirostris","2016",48
"Aerodramus brevirostris","2017",41
"Aerodramus brevirostris","2018",61
"Aerodramus brevirostris","2019",73
"Aerodramus brevirostris","2020",38
"Aerodramus brevirostris","2021",77
"Aerodramus brevirostris","2022",78
"Aerodramus brevirostris","pre2000",23
"Aerodramus fuciphagus","2000-2006",1
"Aerodramus fuciphagus","2007-2010",2
"Aerodramus fuciphagus","2011-2012",1
"Aerodramus fuciphagus","2013",3
"Aerodramus fuciphagus","2014",4
"Aerodramus fuciphagus","2015",2
"Aerodramus fuciphagus","2016",4
"Aerodramus fuciphagus","2017",7
"Aerodramus fuciphagus","2018",11
"Aerodramus fuciphagus","2019",10
"Aerodramus fuciphagus","2020",8
"Aerodramus fuciphagus","2021",16
"Aerodramus fuciphagus","2022",10
"Aerodramus fuciphagus","pre2000",1
"Aerodramus unicolor","2000-2006",23
"Aerodramus unicolor","2007-2010",34
"Aerodramus unicolor","2011-2012",28
"Aerodramus unicolor","2013",17
"Aerodramus unicolor","2014",32
"Aerodramus unicolor","2015",64
"Aerodramus unicolor","2016",74
"Aerodramus unicolor","2017",90
"Aerodramus unicolor","2018",85
"Aerodramus unicolor","2019",89
"Aerodramus unicolor","2020",89
"Aerodramus unicolor","2021",93
"Aerodramus unicolor","2022",76
"Aerodramus unicolor","pre2000",14
"Aethopyga gouldiae","2000-2006",14
"Aethopyga gouldiae","2007-2010",15
"Aethopyga gouldiae","2011-2012",11
"Aethopyga gouldiae","2013",12
"Aethopyga gouldiae","2014",13
"Aethopyga gouldiae","2015",26
"Aethopyga gouldiae","2016",27
"Aethopyga gouldiae","2017",37
"Aethopyga gouldiae","2018",39
"Aethopyga gouldiae","2019",40
"Aethopyga gouldiae","2020",16
"Aethopyga gouldiae","2021",39
"Aethopyga gouldiae","2022",50
"Aethopyga gouldiae","pre2000",11
"Aethopyga ignicauda","2000-2006",10
"Aethopyga ignicauda","2007-2010",11
"Aethopyga ignicauda","2011-2012",8
"Aethopyga ignicauda","2013",11
"Aethopyga ignicauda","2014",14
"Aethopyga ignicauda","2015",19
"Aethopyga ignicauda","2016",33
"Aethopyga ignicauda","2017",27
"Aethopyga ignicauda","2018",39
"Aethopyga ignicauda","2019",42
"Aethopyga ignicauda","2020",20
"Aethopyga ignicauda","2021",34
"Aethopyga ignicauda","2022",39
"Aethopyga ignicauda","pre2000",10
"Aethopyga nipalensis","2000-2006",19
"Aethopyga nipalensis","2007-2010",22
"Aethopyga nipalensis","2011-2012",18
"Aethopyga nipalensis","2013",20
"Aethopyga nipalensis","2014",35
"Aethopyga nipalensis","2015",39
