"scientific_name","timePeriod","n_grids"
"Actinodura cyanouroptera","2019",63
"Actinodura cyanouroptera","2020",51
"Actinodura cyanouroptera","2021",72
"Actinodura cyanouroptera","2022",61
"Actinodura cyanouroptera","pre2000",6
"Actinodura egertoni","2000-2006",5
"Actinodura egertoni","2007-2010",13
"Actinodura egertoni","2011-2012",11
"Actinodura egertoni","2013",12
"Actinodura egertoni","2014",17
"Actinodura egertoni","2015",25
"Actinodura egertoni","2016",22
"Actinodura egertoni","2017",25
"Actinodura egertoni","2018",36
"Actinodura egertoni","2019",32
"Actinodura egertoni","2020",19
"Actinodura egertoni","2021",44
"Actinodura egertoni","2022",41
"Actinodura egertoni","pre2000",2
"Actinodura nipalensis","2000-2006",3
"Actinodura nipalensis","2007-2010",4
"Actinodura nipalensis","2011-2012",6
"Actinodura nipalensis","2013",4
"Actinodura nipalensis","2014",7
"Actinodura nipalensis","2015",9
"Actinodura nipalensis","2016",9
"Actinodura nipalensis","2017",10
"Actinodura nipalensis","2018",12
"Actinodura nipalensis","2019",13
"Actinodura nipalensis","2020",8
"Actinodura nipalensis","2021",19
"Actinodura nipalensis","2022",14
"Actinodura nipalensis","pre2000",4
"Actinodura strigula","2000-2006",10
"Actinodura strigula","2007-2010",19
"Actinodura strigula","2011-2012",14
"Actinodura strigula","2013",12
"Actinodura strigula","2014",30
"Actinodura strigula","2015",32
"Actinodura strigula","2016",44
"Actinodura strigula","2017",46
"Actinodura strigula","2018",60
"Actinodura strigula","2019",64
"Actinodura strigula","2020",40
"Actinodura strigula","2021",63
"Actinodura strigula","2022",57
"Actinodura strigula","pre2000",11
"Actinodura waldeni","2000-2006",4
"Actinodura waldeni","2007-2010",4
"Actinodura waldeni","2011-2012",4
"Actinodura waldeni","2013",4
"Actinodura waldeni","2014",6
"Actinodura waldeni","2015",7
"Actinodura waldeni","2016",7
"Actinodura waldeni","2017",6
"Actinodura waldeni","2018",13
"Actinodura waldeni","2019",10
"Actinodura waldeni","2020",4
"Actinodura waldeni","2021",8
"Actinodura waldeni","2022",8
"Actitis hypoleucos","2000-2006",136
"Actitis hypoleucos","2007-2010",164
"Actitis hypoleucos","2011-2012",213
"Actitis hypoleucos","2013",231
"Actitis hypoleucos","2014",418
"Actitis hypoleucos","2015",579
"Actitis hypoleucos","2016",713
"Actitis hypoleucos","2017",870
"Actitis hypoleucos","2018",959
"Actitis hypoleucos","2019",1083
"Actitis hypoleucos","2020",1182
"Actitis hypoleucos","2021",1291
"Actitis hypoleucos","2022",1101
"Actitis hypoleucos","pre2000",155
"Aegithalos concinnus","2000-2006",20
"Aegithalos concinnus","2007-2010",30
"Aegithalos concinnus","2011-2012",33
"Aegithalos concinnus","2013",35
"Aegithalos concinnus","2014",50
"Aegithalos concinnus","2015",70
"Aegithalos concinnus","2016",82
"Aegithalos concinnus","2017",95
"Aegithalos concinnus","2018",109
"Aegithalos concinnus","2019",112
"Aegithalos concinnus","2020",99
"Aegithalos concinnus","2021",119
"Aegithalos concinnus","2022",129
"Aegithalos concinnus","pre2000",19
"Aegithalos iouschistos","2000-2006",3
"Aegithalos iouschistos","2007-2010",3
"Aegithalos iouschistos","2011-2012",5
"Aegithalos iouschistos","2013",2
"Aegithalos iouschistos","2014",4
"Aegithalos iouschistos","2015",4
"Aegithalos iouschistos","2016",7
"Aegithalos iouschistos","2017",9
"Aegithalos iouschistos","2018",8
"Aegithalos iouschistos","2019",16
"Aegithalos iouschistos","2020",7
"Aegithalos iouschistos","2021",13
"Aegithalos iouschistos","2022",13
"Aegithalos niveogularis","2007-2010",1
"Aegithalos niveogularis","2011-2012",2
"Aegithalos niveogularis","2013",1
"Aegithalos niveogularis","2014",4
"Aegithalos niveogularis","2015",4
"Aegithalos niveogularis","2016",7
"Aegithalos niveogularis","2017",14
"Aegithalos niveogularis","2018",10
"Aegithalos niveogularis","2019",13
"Aegithalos niveogularis","2020",9
"Aegithalos niveogularis","2021",8
"Aegithalos niveogularis","2022",14
"Aegithalos niveogularis","pre2000",5
"Aegithina nigrolutea","2000-2006",4
"Aegithina nigrolutea","2007-2010",8
"Aegithina nigrolutea","2011-2012",6
"Aegithina nigrolutea","2013",7
"Aegithina nigrolutea","2014",9
"Aegithina nigrolutea","2015",16
"Aegithina nigrolutea","2016",20
"Aegithina nigrolutea","2017",23
"Aegithina nigrolutea","2018",42
"Aegithina nigrolutea","2019",55
"Aegithina nigrolutea","2020",55
"Aegithina nigrolutea","2021",79
"Aegithina nigrolutea","2022",57
"Aegithina nigrolutea","pre2000",3
"Aegithina tiphia","2000-2006",129
"Aegithina tiphia","2007-2010",192
"Aegithina tiphia","2011-2012",194
"Aegithina tiphia","2013",181
"Aegithina tiphia","2014",388
"Aegithina tiphia","2015",536
"Aegithina tiphia","2016",638
"Aegithina tiphia","2017",785
"Aegithina tiphia","2018",839
"Aegithina tiphia","2019",943
"Aegithina tiphia","2020",984
"Aegithina tiphia","2021",1200
"Aegithina tiphia","2022",1124
"Aegithina tiphia","pre2000",138
"Aegypius monachus","2000-2006",6
"Aegypius monachus","2007-2010",12
"Aegypius monachus","2011-2012",12
"Aegypius monachus","2013",12
"Aegypius monachus","2014",21
"Aegypius monachus","2015",22
"Aegypius monachus","2016",37
"Aegypius monachus","2017",40
"Aegypius monachus","2018",47
"Aegypius monachus","2019",50
"Aegypius monachus","2020",48
"Aegypius monachus","2021",60
"Aegypius monachus","2022",51
"Aegypius monachus","pre2000",12
"Aerodramus brevirostris","2000-2006",20
"Aerodramus brevirostris","2007-2010",19
"Aerodramus brevirostris","2011-2012",20
"Aerodramus brevirostris","2013",22
"Aerodramus brevirostris","2014",23
"Aerodramus brevirostris","2015",51
"Aerodramus brevirostris","2016",55
"Aerodramus brevirostris","2017",52
"Aerodramus brevirostris","2018",71
"Aerodramus brevirostris","2019",85
"Aerodramus brevirostris","2020",52
"Aerodramus brevirostris","2021",87
"Aerodramus brevirostris","2022",90
"Aerodramus brevirostris","pre2000",16
"Aerodramus fuciphagus","2000-2006",1
"Aerodramus fuciphagus","2007-2010",2
"Aerodramus fuciphagus","2011-2012",3
"Aerodramus fuciphagus","2013",2
"Aerodramus fuciphagus","2014",8
"Aerodramus fuciphagus","2015",1
"Aerodramus fuciphagus","2016",6
"Aerodramus fuciphagus","2017",10
"Aerodramus fuciphagus","2018",17
"Aerodramus fuciphagus","2019",13
"Aerodramus fuciphagus","2020",7
"Aerodramus fuciphagus","2021",19
"Aerodramus fuciphagus","2022",10
"Aerodramus unicolor","2000-2006",30
"Aerodramus unicolor","2007-2010",45
"Aerodramus unicolor","2011-2012",40
"Aerodramus unicolor","2013",21
"Aerodramus unicolor","2014",47
"Aerodramus unicolor","2015",73
"Aerodramus unicolor","2016",91
"Aerodramus unicolor","2017",100
"Aerodramus unicolor","2018",98
"Aerodramus unicolor","2019",101
"Aerodramus unicolor","2020",104
"Aerodramus unicolor","2021",113
"Aerodramus unicolor","2022",99
"Aerodramus unicolor","pre2000",28
"Aethopyga gouldiae","2000-2006",10
"Aethopyga gouldiae","2007-2010",9
"Aethopyga gouldiae","2011-2012",11
"Aethopyga gouldiae","2013",11
"Aethopyga gouldiae","2014",12
"Aethopyga gouldiae","2015",30
"Aethopyga gouldiae","2016",36
"Aethopyga gouldiae","2017",39
"Aethopyga gouldiae","2018",39
"Aethopyga gouldiae","2019",44
"Aethopyga gouldiae","2020",15
"Aethopyga gouldiae","2021",48
"Aethopyga gouldiae","2022",56
"Aethopyga gouldiae","pre2000",12
"Aethopyga ignicauda","2000-2006",9
"Aethopyga ignicauda","2007-2010",10
"Aethopyga ignicauda","2011-2012",11
"Aethopyga ignicauda","2013",10
"Aethopyga ignicauda","2014",15
"Aethopyga ignicauda","2015",23
"Aethopyga ignicauda","2016",31
"Aethopyga ignicauda","2017",36
"Aethopyga ignicauda","2018",41
"Aethopyga ignicauda","2019",47
"Aethopyga ignicauda","2020",26
"Aethopyga ignicauda","2021",37
"Aethopyga ignicauda","2022",45
"Aethopyga ignicauda","pre2000",5
"Aethopyga nipalensis","2000-2006",14
"Aethopyga nipalensis","2007-2010",17
"Aethopyga nipalensis","2011-2012",18
"Aethopyga nipalensis","2013",19
"Aethopyga nipalensis","2014",35
"Aethopyga nipalensis","2015",44
"Aethopyga nipalensis","2016",54
"Aethopyga nipalensis","2017",54
"Aethopyga nipalensis","2018",74
"Aethopyga nipalensis","2019",66
"Aethopyga nipalensis","2020",46
"Aethopyga nipalensis","2021",73
"Aethopyga nipalensis","2022",66
"Aethopyga nipalensis","pre2000",10
"Aethopyga saturata","2000-2006",15
"Aethopyga saturata","2007-2010",17
"Aethopyga saturata","2011-2012",15
"Aethopyga saturata","2013",19
"Aethopyga saturata","2014",18
"Aethopyga saturata","2015",32
"Aethopyga saturata","2016",40
"Aethopyga saturata","2017",51
"Aethopyga saturata","2018",53
"Aethopyga saturata","2019",62
"Aethopyga saturata","2020",39
"Aethopyga saturata","2021",78
"Aethopyga saturata","2022",73
"Aethopyga saturata","pre2000",11
"Aethopyga siparaja","2000-2006",21
"Aethopyga siparaja","2007-2010",27
"Aethopyga siparaja","2011-2012",30
"Aethopyga siparaja","2013",28
"Aethopyga siparaja","2014",61
"Aethopyga siparaja","2015",66
"Aethopyga siparaja","2016",83
"Aethopyga siparaja","2017",115
"Aethopyga siparaja","2018",134
"Aethopyga siparaja","2019",136
"Aethopyga siparaja","2020",134
"Aethopyga siparaja","2021",194
"Aethopyga siparaja","2022",181
"Aethopyga siparaja","pre2000",12
"Aethopyga vigorsii","2000-2006",6
"Aethopyga vigorsii","2007-2010",10
"Aethopyga vigorsii","2011-2012",13
"Aethopyga vigorsii","2013",7
"Aethopyga vigorsii","2014",28
"Aethopyga vigorsii","2015",35
"Aethopyga vigorsii","2016",50
"Aethopyga vigorsii","2017",55
"Aethopyga vigorsii","2018",57
"Aethopyga vigorsii","2019",67
"Aethopyga vigorsii","2020",62
"Aethopyga vigorsii","2021",74
"Aethopyga vigorsii","2022",71
"Aethopyga vigorsii","pre2000",8
"Agraphospiza rubescens","2007-2010",2
"Agraphospiza rubescens","2013",1
"Agraphospiza rubescens","2014",2
"Agraphospiza rubescens","2017",3
"Agraphospiza rubescens","2018",2
"Agraphospiza rubescens","2019",2
"Agraphospiza rubescens","2020",1
"Agraphospiza rubescens","2021",2
"Agraphospiza rubescens","2022",4
"Agraphospiza rubescens","pre2000",1
"Agropsar philippensis","2018",1
"Agropsar sturninus","2015",2
"Agropsar sturninus","2016",2
"Agropsar sturninus","2017",3
"Agropsar sturninus","2018",8
"Agropsar sturninus","2019",6
"Agropsar sturninus","2020",7
"Agropsar sturninus","2021",5
"Agropsar sturninus","2022",4
"Aix galericulata","2013",1
"Aix galericulata","2018",1
"Aix galericulata","2019",1
"Aix galericulata","2021",3
"Aix galericulata","2022",2
"Alaemon alaudipes","2000-2006",2
"Alaemon alaudipes","2007-2010",5
"Alaemon alaudipes","2011-2012",7
"Alaemon alaudipes","2013",2
"Alaemon alaudipes","2014",2
"Alaemon alaudipes","2015",5
"Alaemon alaudipes","2016",6
"Alaemon alaudipes","2017",11
"Alaemon alaudipes","2018",15
"Alaemon alaudipes","2019",11
"Alaemon alaudipes","2020",12
"Alaemon alaudipes","2021",13
"Alaemon alaudipes","2022",11
"Alaemon alaudipes","pre2000",3
"Alauda arvensis","2000-2006",1
"Alauda arvensis","2007-2010",1
"Alauda arvensis","2011-2012",2
"Alauda arvensis","2013",1
"Alauda arvensis","2014",1
"Alauda arvensis","2016",6
"Alauda arvensis","2017",4
"Alauda arvensis","2018",5
"Alauda arvensis","2019",7
"Alauda arvensis","2020",12
"Alauda arvensis","2021",14
"Alauda arvensis","2022",15
"Alauda arvensis","pre2000",1
"Alauda gulgula","2000-2006",39
"Alauda gulgula","2007-2010",46
"Alauda gulgula","2011-2012",63
"Alauda gulgula","2013",54
"Alauda gulgula","2014",130
"Alauda gulgula","2015",161
"Alauda gulgula","2016",233
"Alauda gulgula","2017",257
"Alauda gulgula","2018",295
"Alauda gulgula","2019",333
"Alauda gulgula","2020",361
"Alauda gulgula","2021",410
"Alauda gulgula","2022",302
"Alauda gulgula","pre2000",59
"Alaudala raytal","2000-2006",10
"Alaudala raytal","2007-2010",17
"Alaudala raytal","2011-2012",17
"Alaudala raytal","2013",22
"Alaudala raytal","2014",27
"Alaudala raytal","2015",34
"Alaudala raytal","2016",67
"Alaudala raytal","2017",62
"Alaudala raytal","2018",68
"Alaudala raytal","2019",86
"Alaudala raytal","2020",105
"Alaudala raytal","2021",111
"Alaudala raytal","2022",89
"Alaudala raytal","pre2000",9
"Alcedo atthis","2000-2006",134
"Alcedo atthis","2007-2010",213
"Alcedo atthis","2011-2012",235
"Alcedo atthis","2013",218
"Alcedo atthis","2014",475
"Alcedo atthis","2015",620
"Alcedo atthis","2016",747
"Alcedo atthis","2017",888
"Alcedo atthis","2018",1003
"Alcedo atthis","2019",1133
"Alcedo atthis","2020",1170
"Alcedo atthis","2021",1375
"Alcedo atthis","2022",1258
"Alcedo atthis","pre2000",141
"Alcedo hercules","2000-2006",2
"Alcedo hercules","2007-2010",1
"Alcedo hercules","2011-2012",1
"Alcedo hercules","2013",1
"Alcedo hercules","2015",1
"Alcedo hercules","2016",1
"Alcedo hercules","2018",2
"Alcedo hercules","2019",3
"Alcedo hercules","2020",1
"Alcedo hercules","2021",3
"Alcedo hercules","2022",5
"Alcedo hercules","pre2000",1
"Alcedo meninting","2000-2006",5
"Alcedo meninting","2007-2010",8
"Alcedo meninting","2011-2012",8
"Alcedo meninting","2013",9
"Alcedo meninting","2014",14
"Alcedo meninting","2015",24
"Alcedo meninting","2016",29
"Alcedo meninting","2017",34
"Alcedo meninting","2018",43
"Alcedo meninting","2019",49
"Alcedo meninting","2020",50
"Alcedo meninting","2021",61
"Alcedo meninting","2022",61
"Alcedo meninting","pre2000",2
"Alcippe nipalensis","2000-2006",12
"Alcippe nipalensis","2007-2010",11
"Alcippe nipalensis","2011-2012",7
"Alcippe nipalensis","2013",8
"Alcippe nipalensis","2014",18
"Alcippe nipalensis","2015",26
"Alcippe nipalensis","2016",34
"Alcippe nipalensis","2017",34
"Alcippe nipalensis","2018",54
"Alcippe nipalensis","2019",51
"Alcippe nipalensis","2020",30
"Alcippe nipalensis","2021",68
"Alcippe nipalensis","2022",66
"Alcippe nipalensis","pre2000",8
"Alcippe poioicephala","2000-2006",50
"Alcippe poioicephala","2007-2010",64
"Alcippe poioicephala","2011-2012",53
"Alcippe poioicephala","2013",33
"Alcippe poioicephala","2014",79
"Alcippe poioicephala","2015",90
"Alcippe poioicephala","2016",116
"Alcippe poioicephala","2017",149
"Alcippe poioicephala","2018",161
"Alcippe poioicephala","2019",171
"Alcippe poioicephala","2020",168
"Alcippe poioicephala","2021",209
"Alcippe poioicephala","2022",185
"Alcippe poioicephala","pre2000",41
"Alectoris chukar","2000-2006",11
"Alectoris chukar","2007-2010",12
"Alectoris chukar","2011-2012",30
"Alectoris chukar","2013",22
"Alectoris chukar","2014",28
"Alectoris chukar","2015",17
"Alectoris chukar","2016",41
"Alectoris chukar","2017",58
"Alectoris chukar","2018",56
"Alectoris chukar","2019",74
"Alectoris chukar","2020",51
"Alectoris chukar","2021",80
"Alectoris chukar","2022",76
"Alectoris chukar","pre2000",15
"Alophoixus flaveolus","2000-2006",11
"Alophoixus flaveolus","2007-2010",11
"Alophoixus flaveolus","2011-2012",9
"Alophoixus flaveolus","2013",13
"Alophoixus flaveolus","2014",23
"Alophoixus flaveolus","2015",32
"Alophoixus flaveolus","2016",36
"Alophoixus flaveolus","2017",37
"Alophoixus flaveolus","2018",42
"Alophoixus flaveolus","2019",48
"Alophoixus flaveolus","2020",38
"Alophoixus flaveolus","2021",86
"Alophoixus flaveolus","2022",77
"Alophoixus flaveolus","pre2000",9
"Amandava amandava","2000-2006",19
"Amandava amandava","2007-2010",38
"Amandava amandava","2011-2012",68
"Amandava amandava","2013",68
"Amandava amandava","2014",147
"Amandava amandava","2015",186
"Amandava amandava","2016",281
"Amandava amandava","2017",350
"Amandava amandava","2018",408
"Amandava amandava","2019",455
"Amandava amandava","2020",526
"Amandava amandava","2021",575
"Amandava amandava","2022",387
"Amandava amandava","pre2000",25
"Amaurornis phoenicurus","2000-2006",104
"Amaurornis phoenicurus","2007-2010",179
"Amaurornis phoenicurus","2011-2012",216
"Amaurornis phoenicurus","2013",201
"Amaurornis phoenicurus","2014",429
"Amaurornis phoenicurus","2015",607
"Amaurornis phoenicurus","2016",723
"Amaurornis phoenicurus","2017",900
"Amaurornis phoenicurus","2018",983
"Amaurornis phoenicurus","2019",1170
"Amaurornis phoenicurus","2020",1246
"Amaurornis phoenicurus","2021",1447
"Amaurornis phoenicurus","2022",1417
"Amaurornis phoenicurus","pre2000",127
"Ammomanes deserti","2000-2006",3
"Ammomanes deserti","2007-2010",3
"Ammomanes deserti","2013",4
"Ammomanes deserti","2014",4
"Ammomanes deserti","2015",5
"Ammomanes deserti","2016",7
"Ammomanes deserti","2017",9
"Ammomanes deserti","2018",7
"Ammomanes deserti","2019",10
"Ammomanes deserti","2020",13
"Ammomanes deserti","2021",13
