"scientific_name","n_grids"
"Gallus sonneratii",513
"Garrulax leucolophus",187
"Garrulax merulinus",20
"Garrulax monileger",116
"Garrulus glandarius",132
"Garrulus lanceolatus",132
"Gecinulus grantia",49
"Gelochelidon nilotica",548
"Geokichla citrina",1064
"Geokichla wardii",47
"Glareola lactea",911
"Glareola maldivarum",315
"Glaucidium cuculoides",375
"Glaucidium radiatum",919
"Gorsachius melanolophus",93
"Gracula indica",167
"Gracula religiosa",276
"Gracupica contra",2189
"Graminicola bengalensis",20
"Grammatoptila striata",156
"Grus grus",388
"Grus nigricollis",38
"Gymnoris xanthocollis",1753
"Gypaetus barbatus",225
"Gyps bengalensis",647
"Gyps fulvus",385
"Gyps himalayensis",507
"Gyps indicus",425
"Gyps tenuirostris",65
"Haematopus ostralegus",74
"Halcyon coromanda",64
"Halcyon pileata",262
"Halcyon smyrnensis",3762
"Haliaeetus humilis",108
"Haliaeetus ichthyaetus",215
"Haliaeetus leucogaster",234
"Haliaeetus leucoryphus",97
"Haliastur indus",1185
"Harpactes erythrocephalus",99
"Harpactes fasciatus",186
"Harpactes wardi",17
"Helopsaltes certhiola",67
"Hemicircus canente",193
"Hemiprocne coronata",728
"Hemipus picatus",471
"Hemixos flavala",200
"Heterophasia capistrata",161
"Heterophasia gracilis",57
"Heterophasia pulchella",53
"Hieraaetus pennatus",1433
"Hierococcyx sparverioides",277
"Hierococcyx varius",2340
"Himantopus himantopus",2512
"Hirundapus caudacutus",80
"Hirundapus giganteus",204
"Hirundo domicola",61
"Hirundo rustica",2922
"Hirundo smithii",2178
"Horornis brunnescens",43
"Horornis flavolivaceus",98
"Horornis fortipes",234
"Houbaropsis bengalensis",27
"Hydrophasianus chirurgus",1412
"Hydroprogne caspia",327
"Hydrornis nipalensis",64
"Hypothymis azurea",1154
"Hypsipetes ganeesa",171
"Hypsipetes leucocephalus",416
"Ianthocincla rufogularis",71
"Ibidorhyncha struthersii",79
"Ichthyaetus ichthyaetus",575
"Ictinaetus malaiensis",698
"Iduna caligata",1207
"Indicator xanthonotus",27
"Iole cacharensis",20
"Irena puella",305
"Ithaginis cruentus",19
"Ixobrychus cinnamomeus",945
"Ixobrychus flavicollis",684
"Ixobrychus sinensis",800
"Ixos mcclellandii",142
"Jynx torquilla",912
"Ketupa zeylonensis",650
"Lalage melanoptera",1085
"Lalage melaschistos",369
"Lanius cristatus",1799
"Lanius excubitor",841
"Lanius isabellinus",610
"Lanius schach",2978
"Lanius tephronotus",368
"Lanius vittatus",1853
"Larus fuscus",282
"Larvivora brunnea",346
"Laticilla burnesii",15
"Laticilla cinerascens",9
"Leiopicus mahrattensis",1090
"Leiothrix argentauris",143
"Leiothrix lutea",136
"Leptocoma minima",253
"Leptocoma zeylonica",1943
"Leptoptilos dubius",65
"Leptoptilos javanicus",376
"Leucosticte brandti",93
"Leucosticte nemoricola",231
"Lewinia striata",206
"Limosa lapponica",142
"Limosa limosa",946
"Liocichla bugunorum",3
"Liocichla phoenicea",68
"Locustella kashmirensis",18
"Locustella thoracica",46
"Lonchura kelaarti",180
"Lonchura malacca",1202
"Lonchura punctulata",2501
"Lonchura striata",1073
"Lophophanes dichrous",85
"Lophophorus impejanus",108
"Lophophorus sclateri",5
"Lophotriorchis kienerii",253
"Lophura leucomelanos",278
"Loriculus vernalis",405
"Luscinia svecica",1187
"Machlolophus aplonotus",499
"Machlolophus nuchalis",78
"Machlolophus spilonotus",82
"Machlolophus xanthogenys",128
"Macropygia rufipennis",26
"Macropygia unchall",113
"Malacocincla abbotti",92
"Mareca penelope",1107
"Mareca strepera",1223
"Marmaronetta angustirostris",18
"Megaceryle lugubris",213
"Megalurus palustris",218
"Megapodius nicobariensis",9
"Melanochlora sultanea",110
"Mergus merganser",136
"Merops leschenaulti",674
"Merops orientalis",3517
"Merops persicus",410
"Merops philippinus",1643
"Metopidius indicus",1522
"Microcarbo niger",3314
"Microhierax caerulescens",57
"Microhierax melanoleucos",31
"Micropternus brachyurus",610
"Milvus migrans",3049
"Minla ignotincta",72
"Mirafra affinis",589
