"scientific_name","timePeriod","n_grids"
"Acrocephalus concinens","2000-2006",2
"Acrocephalus concinens","2007-2010",3
"Acrocephalus concinens","2011-2012",3
"Acrocephalus concinens","2014",2
"Acrocephalus concinens","2015",5
"Acrocephalus concinens","2016",1
"Acrocephalus concinens","2017",4
"Acrocephalus concinens","2018",1
"Acrocephalus concinens","2019",1
"Acrocephalus concinens","2020",1
"Acrocephalus concinens","2021",3
"Acrocephalus concinens","2022",2
"Acrocephalus concinens","pre2000",1
"Acrocephalus dumetorum","2000-2006",113
"Acrocephalus dumetorum","2007-2010",168
"Acrocephalus dumetorum","2011-2012",145
"Acrocephalus dumetorum","2013",145
"Acrocephalus dumetorum","2014",226
"Acrocephalus dumetorum","2015",304
"Acrocephalus dumetorum","2016",393
"Acrocephalus dumetorum","2017",469
"Acrocephalus dumetorum","2018",493
"Acrocephalus dumetorum","2019",554
"Acrocephalus dumetorum","2020",619
"Acrocephalus dumetorum","2021",700
"Acrocephalus dumetorum","2022",618
"Acrocephalus dumetorum","pre2000",109
"Acrocephalus melanopogon","2000-2006",6
"Acrocephalus melanopogon","2007-2010",3
"Acrocephalus melanopogon","2011-2012",7
"Acrocephalus melanopogon","2013",6
"Acrocephalus melanopogon","2014",6
"Acrocephalus melanopogon","2015",9
"Acrocephalus melanopogon","2016",11
"Acrocephalus melanopogon","2017",9
"Acrocephalus melanopogon","2018",15
"Acrocephalus melanopogon","2019",20
"Acrocephalus melanopogon","2020",20
"Acrocephalus melanopogon","2021",11
"Acrocephalus melanopogon","2022",12
"Acrocephalus melanopogon","pre2000",4
"Acrocephalus orientalis","2007-2010",2
"Acrocephalus orientalis","2011-2012",3
"Acrocephalus orientalis","2013",2
"Acrocephalus orientalis","2014",1
"Acrocephalus orientalis","2016",2
"Acrocephalus orientalis","2017",4
"Acrocephalus orientalis","2018",3
"Acrocephalus orientalis","2019",7
"Acrocephalus orientalis","2020",4
"Acrocephalus orientalis","2021",5
"Acrocephalus orientalis","2022",2
"Acrocephalus orientalis","pre2000",2
"Acrocephalus orinus","2007-2010",2
"Acrocephalus orinus","2014",1
"Acrocephalus orinus","pre2000",2
"Acrocephalus schoenobaenus","pre2000",1
"Acrocephalus stentoreus","2000-2006",48
"Acrocephalus stentoreus","2007-2010",81
"Acrocephalus stentoreus","2011-2012",67
"Acrocephalus stentoreus","2013",77
"Acrocephalus stentoreus","2014",124
"Acrocephalus stentoreus","2015",175
"Acrocephalus stentoreus","2016",238
"Acrocephalus stentoreus","2017",282
"Acrocephalus stentoreus","2018",303
"Acrocephalus stentoreus","2019",347
"Acrocephalus stentoreus","2020",373
"Acrocephalus stentoreus","2021",406
"Acrocephalus stentoreus","2022",335
"Acrocephalus stentoreus","pre2000",47
"Actinodura cyanouroptera","2000-2006",18
"Actinodura cyanouroptera","2007-2010",23
"Actinodura cyanouroptera","2011-2012",22
"Actinodura cyanouroptera","2013",14
