"scientific_name","timePeriod","n_grids"
"Acrocephalus concinens","2022",5
"Acrocephalus concinens","pre2000",2
"Acrocephalus dumetorum","2000-2006",185
"Acrocephalus dumetorum","2007-2010",281
"Acrocephalus dumetorum","2011-2012",246
"Acrocephalus dumetorum","2013",219
"Acrocephalus dumetorum","2014",356
"Acrocephalus dumetorum","2015",458
"Acrocephalus dumetorum","2016",591
"Acrocephalus dumetorum","2017",703
"Acrocephalus dumetorum","2018",783
"Acrocephalus dumetorum","2019",880
"Acrocephalus dumetorum","2020",973
"Acrocephalus dumetorum","2021",1061
"Acrocephalus dumetorum","2022",909
"Acrocephalus dumetorum","pre2000",256
"Acrocephalus melanopogon","2000-2006",8
"Acrocephalus melanopogon","2007-2010",3
"Acrocephalus melanopogon","2011-2012",8
"Acrocephalus melanopogon","2013",7
"Acrocephalus melanopogon","2014",6
"Acrocephalus melanopogon","2015",12
"Acrocephalus melanopogon","2016",13
"Acrocephalus melanopogon","2017",10
"Acrocephalus melanopogon","2018",17
"Acrocephalus melanopogon","2019",34
"Acrocephalus melanopogon","2020",29
"Acrocephalus melanopogon","2021",20
"Acrocephalus melanopogon","2022",18
"Acrocephalus melanopogon","pre2000",4
"Acrocephalus orientalis","2000-2006",1
"Acrocephalus orientalis","2007-2010",2
"Acrocephalus orientalis","2011-2012",3
"Acrocephalus orientalis","2013",4
"Acrocephalus orientalis","2014",1
"Acrocephalus orientalis","2015",1
"Acrocephalus orientalis","2016",2
"Acrocephalus orientalis","2017",4
"Acrocephalus orientalis","2018",5
"Acrocephalus orientalis","2019",8
"Acrocephalus orientalis","2020",6
"Acrocephalus orientalis","2021",5
"Acrocephalus orientalis","2022",2
"Acrocephalus orientalis","pre2000",3
"Acrocephalus orinus","2007-2010",2
"Acrocephalus orinus","2014",1
"Acrocephalus orinus","2017",2
"Acrocephalus orinus","pre2000",4
"Acrocephalus schoenobaenus","pre2000",2
"Acrocephalus stentoreus","2000-2006",73
"Acrocephalus stentoreus","2007-2010",115
"Acrocephalus stentoreus","2011-2012",108
"Acrocephalus stentoreus","2013",114
"Acrocephalus stentoreus","2014",193
"Acrocephalus stentoreus","2015",248
"Acrocephalus stentoreus","2016",349
"Acrocephalus stentoreus","2017",423
"Acrocephalus stentoreus","2018",461
"Acrocephalus stentoreus","2019",533
"Acrocephalus stentoreus","2020",592
"Acrocephalus stentoreus","2021",636
"Acrocephalus stentoreus","2022",499
"Acrocephalus stentoreus","pre2000",105
"Actinodura cyanouroptera","2000-2006",28
"Actinodura cyanouroptera","2007-2010",36
"Actinodura cyanouroptera","2011-2012",29
"Actinodura cyanouroptera","2013",24
"Actinodura cyanouroptera","2014",29
"Actinodura cyanouroptera","2015",46
"Actinodura cyanouroptera","2016",54
"Actinodura cyanouroptera","2017",59
"Actinodura cyanouroptera","2018",70
"Actinodura cyanouroptera","2019",66
"Actinodura cyanouroptera","2020",56
"Actinodura cyanouroptera","2021",76
"Actinodura cyanouroptera","2022",69
"Actinodura cyanouroptera","pre2000",16
"Actinodura egertoni","2000-2006",15
"Actinodura egertoni","2007-2010",18
"Actinodura egertoni","2011-2012",15
"Actinodura egertoni","2013",13
"Actinodura egertoni","2014",20
"Actinodura egertoni","2015",25
"Actinodura egertoni","2016",28
"Actinodura egertoni","2017",29
"Actinodura egertoni","2018",40
"Actinodura egertoni","2019",32
"Actinodura egertoni","2020",23
"Actinodura egertoni","2021",47
"Actinodura egertoni","2022",43
"Actinodura egertoni","pre2000",11
"Actinodura nipalensis","2000-2006",8
"Actinodura nipalensis","2007-2010",7
"Actinodura nipalensis","2011-2012",7
"Actinodura nipalensis","2013",6
"Actinodura nipalensis","2014",11
"Actinodura nipalensis","2015",10
"Actinodura nipalensis","2016",11
"Actinodura nipalensis","2017",11
"Actinodura nipalensis","2018",14
"Actinodura nipalensis","2019",14
"Actinodura nipalensis","2020",10
"Actinodura nipalensis","2021",19
"Actinodura nipalensis","2022",14
"Actinodura nipalensis","pre2000",7
"Actinodura strigula","2000-2006",22
"Actinodura strigula","2007-2010",32
"Actinodura strigula","2011-2012",24
"Actinodura strigula","2013",19
"Actinodura strigula","2014",40
"Actinodura strigula","2015",39
"Actinodura strigula","2016",52
"Actinodura strigula","2017",49
"Actinodura strigula","2018",63
"Actinodura strigula","2019",66
"Actinodura strigula","2020",42
"Actinodura strigula","2021",68
"Actinodura strigula","2022",61
"Actinodura strigula","pre2000",29
"Actinodura waldeni","2000-2006",5
"Actinodura waldeni","2007-2010",6
"Actinodura waldeni","2011-2012",5
"Actinodura waldeni","2013",7
"Actinodura waldeni","2014",8
"Actinodura waldeni","2015",7
"Actinodura waldeni","2016",8
"Actinodura waldeni","2017",6
"Actinodura waldeni","2018",13
"Actinodura waldeni","2019",10
"Actinodura waldeni","2020",5
"Actinodura waldeni","2021",8
"Actinodura waldeni","2022",8
"Actinodura waldeni","pre2000",1
"Actitis hypoleucos","2000-2006",284
"Actitis hypoleucos","2007-2010",366
"Actitis hypoleucos","2011-2012",347
"Actitis hypoleucos","2013",351
"Actitis hypoleucos","2014",519
"Actitis hypoleucos","2015",692
"Actitis hypoleucos","2016",842
"Actitis hypoleucos","2017",1003
"Actitis hypoleucos","2018",1077
"Actitis hypoleucos","2019",1223
"Actitis hypoleucos","2020",1306
"Actitis hypoleucos","2021",1426
"Actitis hypoleucos","2022",1206
"Actitis hypoleucos","pre2000",391
"Aegithalos concinnus","2000-2006",47
"Aegithalos concinnus","2007-2010",51
"Aegithalos concinnus","2011-2012",49
"Aegithalos concinnus","2013",45
"Aegithalos concinnus","2014",65
"Aegithalos concinnus","2015",81
"Aegithalos concinnus","2016",91
"Aegithalos concinnus","2017",104
"Aegithalos concinnus","2018",120
"Aegithalos concinnus","2019",120
"Aegithalos concinnus","2020",111
"Aegithalos concinnus","2021",127
"Aegithalos concinnus","2022",134
"Aegithalos concinnus","pre2000",48
"Aegithalos iouschistos","2000-2006",6
"Aegithalos iouschistos","2007-2010",6
"Aegithalos iouschistos","2011-2012",5
"Aegithalos iouschistos","2013",3
"Aegithalos iouschistos","2014",7
"Aegithalos iouschistos","2015",7
"Aegithalos iouschistos","2016",10
"Aegithalos iouschistos","2017",11
"Aegithalos iouschistos","2018",10
"Aegithalos iouschistos","2019",17
"Aegithalos iouschistos","2020",9
"Aegithalos iouschistos","2021",13
"Aegithalos iouschistos","2022",14
"Aegithalos iouschistos","pre2000",1
"Aegithalos leucogenys","pre2000",1
"Aegithalos niveogularis","2000-2006",2
"Aegithalos niveogularis","2007-2010",2
"Aegithalos niveogularis","2011-2012",3
"Aegithalos niveogularis","2013",2
"Aegithalos niveogularis","2014",4
"Aegithalos niveogularis","2015",9
"Aegithalos niveogularis","2016",10
"Aegithalos niveogularis","2017",14
"Aegithalos niveogularis","2018",11
"Aegithalos niveogularis","2019",14
"Aegithalos niveogularis","2020",10
"Aegithalos niveogularis","2021",9
"Aegithalos niveogularis","2022",14
"Aegithalos niveogularis","pre2000",6
"Aegithina nigrolutea","2000-2006",21
"Aegithina nigrolutea","2007-2010",31
"Aegithina nigrolutea","2011-2012",18
"Aegithina nigrolutea","2013",15
"Aegithina nigrolutea","2014",16
"Aegithina nigrolutea","2015",21
"Aegithina nigrolutea","2016",29
"Aegithina nigrolutea","2017",29
"Aegithina nigrolutea","2018",51
"Aegithina nigrolutea","2019",62
"Aegithina nigrolutea","2020",60
"Aegithina nigrolutea","2021",86
"Aegithina nigrolutea","2022",65
"Aegithina nigrolutea","pre2000",19
"Aegithina tiphia","2000-2006",263
"Aegithina tiphia","2007-2010",275
"Aegithina tiphia","2011-2012",280
"Aegithina tiphia","2013",250
"Aegithina tiphia","2014",479
"Aegithina tiphia","2015",622
"Aegithina tiphia","2016",745
"Aegithina tiphia","2017",883
"Aegithina tiphia","2018",947
"Aegithina tiphia","2019",1049
"Aegithina tiphia","2020",1083
"Aegithina tiphia","2021",1306
"Aegithina tiphia","2022",1233
"Aegithina tiphia","pre2000",358
"Aegolius funereus","pre2000",1
"Aegypius monachus","2000-2006",19
"Aegypius monachus","2007-2010",22
"Aegypius monachus","2011-2012",21
"Aegypius monachus","2013",18
"Aegypius monachus","2014",23
"Aegypius monachus","2015",29
"Aegypius monachus","2016",53
"Aegypius monachus","2017",58
"Aegypius monachus","2018",58
"Aegypius monachus","2019",60
"Aegypius monachus","2020",59
"Aegypius monachus","2021",70
"Aegypius monachus","2022",59
"Aegypius monachus","pre2000",26
"Aerodramus brevirostris","2000-2006",42
"Aerodramus brevirostris","2007-2010",35
"Aerodramus brevirostris","2011-2012",40
"Aerodramus brevirostris","2013",32
"Aerodramus brevirostris","2014",36
"Aerodramus brevirostris","2015",66
"Aerodramus brevirostris","2016",65
"Aerodramus brevirostris","2017",63
"Aerodramus brevirostris","2018",79
"Aerodramus brevirostris","2019",96
"Aerodramus brevirostris","2020",65
"Aerodramus brevirostris","2021",100
"Aerodramus brevirostris","2022",101
"Aerodramus brevirostris","pre2000",41
"Aerodramus fuciphagus","2000-2006",2
"Aerodramus fuciphagus","2007-2010",3
"Aerodramus fuciphagus","2011-2012",5
"Aerodramus fuciphagus","2013",4
"Aerodramus fuciphagus","2014",9
"Aerodramus fuciphagus","2015",4
"Aerodramus fuciphagus","2016",7
"Aerodramus fuciphagus","2017",11
"Aerodramus fuciphagus","2018",17
"Aerodramus fuciphagus","2019",14
"Aerodramus fuciphagus","2020",8
"Aerodramus fuciphagus","2021",19
"Aerodramus fuciphagus","2022",13
"Aerodramus fuciphagus","pre2000",4
"Aerodramus unicolor","2000-2006",47
"Aerodramus unicolor","2007-2010",62
"Aerodramus unicolor","2011-2012",49
"Aerodramus unicolor","2013",30
"Aerodramus unicolor","2014",53
"Aerodramus unicolor","2015",83
"Aerodramus unicolor","2016",98
"Aerodramus unicolor","2017",110
"Aerodramus unicolor","2018",111
"Aerodramus unicolor","2019",115
"Aerodramus unicolor","2020",114
"Aerodramus unicolor","2021",125
"Aerodramus unicolor","2022",107
"Aerodramus unicolor","pre2000",34
"Aethopyga gouldiae","2000-2006",21
"Aethopyga gouldiae","2007-2010",21
"Aethopyga gouldiae","2011-2012",20
"Aethopyga gouldiae","2013",16
"Aethopyga gouldiae","2014",18
"Aethopyga gouldiae","2015",32
"Aethopyga gouldiae","2016",41
"Aethopyga gouldiae","2017",45
"Aethopyga gouldiae","2018",45
"Aethopyga gouldiae","2019",48
"Aethopyga gouldiae","2020",19
"Aethopyga gouldiae","2021",52
"Aethopyga gouldiae","2022",58
"Aethopyga gouldiae","pre2000",18
"Aethopyga ignicauda","2000-2006",17
"Aethopyga ignicauda","2007-2010",23
"Aethopyga ignicauda","2011-2012",19
"Aethopyga ignicauda","2013",14
"Aethopyga ignicauda","2014",19
"Aethopyga ignicauda","2015",26
"Aethopyga ignicauda","2016",38
"Aethopyga ignicauda","2017",38
"Aethopyga ignicauda","2018",45
"Aethopyga ignicauda","2019",51
"Aethopyga ignicauda","2020",29
"Aethopyga ignicauda","2021",40
"Aethopyga ignicauda","2022",47
"Aethopyga ignicauda","pre2000",13
"Aethopyga nipalensis","2000-2006",26
"Aethopyga nipalensis","2007-2010",32
"Aethopyga nipalensis","2011-2012",29
"Aethopyga nipalensis","2013",31
"Aethopyga nipalensis","2014",45
"Aethopyga nipalensis","2015",51
"Aethopyga nipalensis","2016",59
"Aethopyga nipalensis","2017",58
"Aethopyga nipalensis","2018",76
"Aethopyga nipalensis","2019",69
"Aethopyga nipalensis","2020",49
"Aethopyga nipalensis","2021",78
"Aethopyga nipalensis","2022",67
"Aethopyga nipalensis","pre2000",23
"Aethopyga saturata","2000-2006",27
"Aethopyga saturata","2007-2010",22
"Aethopyga saturata","2011-2012",21
"Aethopyga saturata","2013",23
"Aethopyga saturata","2014",25
"Aethopyga saturata","2015",45
"Aethopyga saturata","2016",44
"Aethopyga saturata","2017",57
"Aethopyga saturata","2018",61
"Aethopyga saturata","2019",66
"Aethopyga saturata","2020",48
"Aethopyga saturata","2021",87
"Aethopyga saturata","2022",80
"Aethopyga saturata","pre2000",28
"Aethopyga siparaja","2000-2006",43
"Aethopyga siparaja","2007-2010",57
"Aethopyga siparaja","2011-2012",46
"Aethopyga siparaja","2013",43
"Aethopyga siparaja","2014",73
"Aethopyga siparaja","2015",84
"Aethopyga siparaja","2016",103
"Aethopyga siparaja","2017",131
"Aethopyga siparaja","2018",164
"Aethopyga siparaja","2019",163
"Aethopyga siparaja","2020",162
"Aethopyga siparaja","2021",218
"Aethopyga siparaja","2022",203
"Aethopyga siparaja","pre2000",44
"Aethopyga vigorsii","2000-2006",10
"Aethopyga vigorsii","2007-2010",17
"Aethopyga vigorsii","2011-2012",25
"Aethopyga vigorsii","2013",17
"Aethopyga vigorsii","2014",35
"Aethopyga vigorsii","2015",41
"Aethopyga vigorsii","2016",54
"Aethopyga vigorsii","2017",63
"Aethopyga vigorsii","2018",61
"Aethopyga vigorsii","2019",76
"Aethopyga vigorsii","2020",73
"Aethopyga vigorsii","2021",83
"Aethopyga vigorsii","2022",72
"Aethopyga vigorsii","pre2000",11
"Agraphospiza rubescens","2007-2010",2
"Agraphospiza rubescens","2011-2012",1
"Agraphospiza rubescens","2013",1
"Agraphospiza rubescens","2014",4
"Agraphospiza rubescens","2015",1
"Agraphospiza rubescens","2017",3
"Agraphospiza rubescens","2018",2
"Agraphospiza rubescens","2019",3
"Agraphospiza rubescens","2020",1
"Agraphospiza rubescens","2021",2
"Agraphospiza rubescens","2022",4
"Agraphospiza rubescens","pre2000",1
"Agropsar philippensis","2000-2006",1
"Agropsar philippensis","2018",1
"Agropsar sturninus","2007-2010",1
"Agropsar sturninus","2011-2012",1
"Agropsar sturninus","2014",1
"Agropsar sturninus","2015",3
"Agropsar sturninus","2016",3
"Agropsar sturninus","2017",5
"Agropsar sturninus","2018",8
"Agropsar sturninus","2019",7
"Agropsar sturninus","2020",7
"Agropsar sturninus","2021",5
"Agropsar sturninus","2022",4
"Aix galericulata","2013",1
"Aix galericulata","2018",2
"Aix galericulata","2019",2
"Aix galericulata","2020",1
"Aix galericulata","2021",3
"Aix galericulata","2022",2
"Aix galericulata","pre2000",4
"Alaemon alaudipes","2000-2006",6
"Alaemon alaudipes","2007-2010",11
"Alaemon alaudipes","2011-2012",10
"Alaemon alaudipes","2013",6
"Alaemon alaudipes","2014",5
"Alaemon alaudipes","2015",8
"Alaemon alaudipes","2016",12
"Alaemon alaudipes","2017",16
"Alaemon alaudipes","2018",16
"Alaemon alaudipes","2019",14
"Alaemon alaudipes","2020",13
"Alaemon alaudipes","2021",14
"Alaemon alaudipes","2022",13
"Alaemon alaudipes","pre2000",10
"Alauda arvensis","2000-2006",7
"Alauda arvensis","2007-2010",2
"Alauda arvensis","2011-2012",4
"Alauda arvensis","2013",2
"Alauda arvensis","2014",1
"Alauda arvensis","2015",2
"Alauda arvensis","2016",7
"Alauda arvensis","2017",4
"Alauda arvensis","2018",8
"Alauda arvensis","2019",10
"Alauda arvensis","2020",12
"Alauda arvensis","2021",18
"Alauda arvensis","2022",20
"Alauda arvensis","pre2000",4
"Alauda gulgula","2000-2006",90
"Alauda gulgula","2007-2010",86
"Alauda gulgula","2011-2012",88
"Alauda gulgula","2013",79
"Alauda gulgula","2014",149
"Alauda gulgula","2015",185
"Alauda gulgula","2016",263
"Alauda gulgula","2017",301
"Alauda gulgula","2018",338
"Alauda gulgula","2019",369
"Alauda gulgula","2020",406
"Alauda gulgula","2021",437
"Alauda gulgula","2022",336
"Alauda gulgula","pre2000",137
"Alaudala raytal","2000-2006",25
"Alaudala raytal","2007-2010",39
"Alaudala raytal","2011-2012",38
"Alaudala raytal","2013",35
"Alaudala raytal","2014",40
"Alaudala raytal","2015",43
"Alaudala raytal","2016",76
"Alaudala raytal","2017",72
"Alaudala raytal","2018",79
"Alaudala raytal","2019",100
"Alaudala raytal","2020",115
"Alaudala raytal","2021",119
"Alaudala raytal","2022",100
"Alaudala raytal","pre2000",28
"Alcedo atthis","2000-2006",279
"Alcedo atthis","2007-2010",336
"Alcedo atthis","2011-2012",351
"Alcedo atthis","2013",313
"Alcedo atthis","2014",586
"Alcedo atthis","2015",732
"Alcedo atthis","2016",867
"Alcedo atthis","2017",1028
"Alcedo atthis","2018",1161
"Alcedo atthis","2019",1283
"Alcedo atthis","2020",1326
"Alcedo atthis","2021",1546
"Alcedo atthis","2022",1402
"Alcedo atthis","pre2000",377
"Alcedo hercules","2000-2006",3
"Alcedo hercules","2007-2010",2
"Alcedo hercules","2011-2012",2
"Alcedo hercules","2013",2
"Alcedo hercules","2014",1
"Alcedo hercules","2015",3
"Alcedo hercules","2016",1
"Alcedo hercules","2017",1
"Alcedo hercules","2018",2
"Alcedo hercules","2019",3
"Alcedo hercules","2020",4
"Alcedo hercules","2021",3
"Alcedo hercules","2022",5
"Alcedo hercules","pre2000",5
"Alcedo meninting","2000-2006",14
"Alcedo meninting","2007-2010",16
"Alcedo meninting","2011-2012",18
"Alcedo meninting","2013",15
"Alcedo meninting","2014",22
"Alcedo meninting","2015",32
"Alcedo meninting","2016",37
"Alcedo meninting","2017",45
"Alcedo meninting","2018",49
"Alcedo meninting","2019",59
"Alcedo meninting","2020",56
"Alcedo meninting","2021",67
"Alcedo meninting","2022",71
"Alcedo meninting","pre2000",8
"Alcippe nipalensis","2000-2006",25
"Alcippe nipalensis","2007-2010",19
"Alcippe nipalensis","2011-2012",16
"Alcippe nipalensis","2013",15
"Alcippe nipalensis","2014",23
"Alcippe nipalensis","2015",35
"Alcippe nipalensis","2016",45
"Alcippe nipalensis","2017",44
"Alcippe nipalensis","2018",59
"Alcippe nipalensis","2019",56
"Alcippe nipalensis","2020",37
"Alcippe nipalensis","2021",72
"Alcippe nipalensis","2022",75
"Alcippe nipalensis","pre2000",18
"Alcippe poioicephala","2000-2006",83
"Alcippe poioicephala","2007-2010",85
"Alcippe poioicephala","2011-2012",68
"Alcippe poioicephala","2013",50
"Alcippe poioicephala","2014",99
"Alcippe poioicephala","2015",109
"Alcippe poioicephala","2016",128
"Alcippe poioicephala","2017",165
"Alcippe poioicephala","2018",184
"Alcippe poioicephala","2019",191
"Alcippe poioicephala","2020",187
"Alcippe poioicephala","2021",218
"Alcippe poioicephala","2022",203
"Alcippe poioicephala","pre2000",76
"Alectoris chukar","2000-2006",27
"Alectoris chukar","2007-2010",33
"Alectoris chukar","2011-2012",36
"Alectoris chukar","2013",28
"Alectoris chukar","2014",39
"Alectoris chukar","2015",26
"Alectoris chukar","2016",54
"Alectoris chukar","2017",67
"Alectoris chukar","2018",69
"Alectoris chukar","2019",81
"Alectoris chukar","2020",61
"Alectoris chukar","2021",89
"Alectoris chukar","2022",82
"Alectoris chukar","pre2000",29
"Alophoixus flaveolus","2000-2006",26
"Alophoixus flaveolus","2007-2010",20
"Alophoixus flaveolus","2011-2012",19
"Alophoixus flaveolus","2013",21
"Alophoixus flaveolus","2014",30
"Alophoixus flaveolus","2015",47
"Alophoixus flaveolus","2016",45
"Alophoixus flaveolus","2017",46
"Alophoixus flaveolus","2018",52
"Alophoixus flaveolus","2019",57
"Alophoixus flaveolus","2020",45
