"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Forest Owlet","Athene blewitti","","","Central India","","","Diurnal","Diurnal","X"
"Mottled Wood Owl","Strix ocellata","","","Mainland India","","","Nocturnal","Nocturnal",""
"Brown Wood Owl","Strix leptogrammica","","","None","","","Nocturnal","Nocturnal",""
"Tawny Owl","Strix aluco","","","None","","X","Nocturnal","Nocturnal",""
"Himalayan Owl","Strix nivicolum","","","None","","","Nocturnal","Nocturnal",""
"Northern Long-eared Owl","Asio otus","","","None","","X","Nocturnal","Nocturnal",""
"Short-eared Owl","Asio flammeus","","X","None","","","24 hour","24 hour","X"
"Boreal Owl","Aegolius funereus","","","None","","X","Nocturnal","Nocturnal",""
"Andaman Hawk Owl","Ninox affinis","","","Andaman Islands","","","Nocturnal","Nocturnal",""
"Brown Hawk Owl","Ninox scutulata","","","None","","","Nocturnal","Nocturnal",""
"Hume's Hawk Owl","Ninox obscura","","","Andaman Islands","","X","Nocturnal","Nocturnal",""
"Malabar Trogon","Harpactes fasciatus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Red-headed Trogon","Harpactes erythrocephalus","X","X","None","X","","Diurnal","Diurnal","X"
"Ward's Trogon","Harpactes wardi","","","Eastern Himalayas","X","","Diurnal","Diurnal","X"
"Common Hoopoe","Upupa epops","X","X","None","","","Diurnal","Diurnal","X"
"Great Hornbill","Buceros bicornis","X","X","None","X","","Diurnal","Diurnal","X"
"Austen's Brown Hornbill","Anorrhinus austeni","","","None","X","","Diurnal","Diurnal","X"
"Indian Grey Hornbill","Ocyceros birostris","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Malabar Grey Hornbill","Ocyceros griseus","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Malabar Pied Hornbill","Anthracoceros coronatus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Oriental Pied Hornbill","Anthracoceros albirostris","X","X","None","","","Diurnal","Diurnal","X"
"Rufous-necked Hornbill","Aceros nipalensis","","","None","X","","Diurnal","Diurnal","X"
"Wreathed Hornbill","Rhyticeros undulatus","","X","None","","","Diurnal","Diurnal","X"
"Narcondam Hornbill","Rhyticeros narcondami","","","Andaman Islands","","","Diurnal","Diurnal","X"
"Blyth's Kingfisher","Alcedo hercules","","","None","","","Diurnal","Diurnal",""
"Common Kingfisher","Alcedo atthis","X","X","None","","","Diurnal","Diurnal","X"
"Blue-eared Kingfisher","Alcedo meninting","","X","None","","","Diurnal","Diurnal","X"
"Oriental Dwarf Kingfisher","Ceyx erithaca","","X","None","","","Diurnal","Diurnal","X"
"Oriental Dwarf Kingfisher","Ceyx erithaca","","","None","","X","Diurnal","Diurnal",""
"Brown-winged Kingfisher","Pelargopsis amauroptera","","","None","","","Diurnal","Diurnal",""
"Stork-billed Kingfisher","Pelargopsis capensis","X","X","None","","","Diurnal","Diurnal","X"
"Ruddy Kingfisher","Halcyon coromanda","","X","None","","","Diurnal","Diurnal","X"
"White-throated Kingfisher","Halcyon smyrnensis","X","X","None","","","Diurnal","Diurnal","X"
"Black-capped Kingfisher","Halcyon pileata","X","X","None","X","","Diurnal","Diurnal","X"
"Collared Kingfisher","Todiramphus chloris","","X","None","","","Diurnal","Diurnal","X"
"Crested Kingfisher","Megaceryle lugubris","X","X","None","","","Diurnal","Diurnal","X"
"Pied Kingfisher","Ceryle rudis","X","X","None","","","Diurnal","Diurnal","X"
"Blue-bearded Bee-eater","Nyctyornis athertoni","X","X","None","","","Diurnal","Diurnal","X"
"Green Bee-eater","Merops orientalis","X","X","None","","","Diurnal","Diurnal","X"
"Blue-throated Bee-eater","Merops viridis","","","None","","X","Diurnal","Diurnal",""
"Blue-cheeked Bee-eater","Merops persicus","","X","None","","","Diurnal","Diurnal","X"
"Blue-tailed Bee-eater","Merops philippinus","X","X","None","","","Diurnal","Diurnal","X"
"European Bee-eater","Merops apiaster","","","None","","","Diurnal","Diurnal",""
"Chestnut-headed Bee-eater","Merops leschenaulti","X","X","None","","","Diurnal","Diurnal","X"
"European Roller","Coracias garrulus","","X","None","","","Diurnal","Diurnal","X"
"Indian Roller","Coracias benghalensis","X","X","None","","","Diurnal","Diurnal","X"
"Indochinese Roller","Coracias affinis","X","X","None","","","Diurnal","Diurnal","X"
"Dollarbird","Eurystomus orientalis","X","X","None","","","Diurnal","Diurnal","X"
"Malabar Barbet","Psilopogon malabaricus","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Coppersmith Barbet","Psilopogon haemacephalus","X","X","None","","","Diurnal","Diurnal","X"
"Blue-eared Barbet","Psilopogon duvaucelii","","X","None","","","Diurnal","Diurnal","X"
"Great Barbet","Psilopogon virens","X","X","None","","","Diurnal","Diurnal","X"
"Lineated Barbet","Psilopogon lineatus","X","X","None","","","Diurnal","Diurnal","X"
"Brown-headed Barbet","Psilopogon zeylanicus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"White-cheeked Barbet","Psilopogon viridis","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Golden-throated Barbet","Psilopogon franklinii","","X","None","","","Diurnal","Diurnal","X"
"Blue-throated Barbet","Psilopogon asiaticus","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-rumped Honeyguide","Indicator xanthonotus","","","Himalayas","","","Diurnal","Diurnal","X"
"Eurasian Wryneck","Jynx torquilla","X","X","None","","","Diurnal","Diurnal","X"
"Speckled Piculet","Picumnus innominatus","X","X","None","","","Diurnal","Diurnal","X"
"White-browed Piculet","Sasia ochracea","","X","None","","","Diurnal","Diurnal","X"
"Heart-spotted Woodpecker","Hemicircus canente","X","X","None","","","Diurnal","Diurnal","X"
"Brown-capped Pygmy Woodpecker","Yungipicus nanus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Grey-capped Pygmy Woodpecker","Yungipicus canicapillus","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis","X","X","None","","","Diurnal","Diurnal","X"
"Brown-fronted Woodpecker","Dendrocoptes auriceps","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus","","X","None","","","Diurnal","Diurnal","X"
"Fulvous-breasted Woodpecker","Dendrocopos macei","X","X","None","","","Diurnal","Diurnal","X"
"Freckle-breasted Woodpecker","Dendrocopos analis","","","None","","","Diurnal","Diurnal",""
"Stripe-breasted Woodpecker","Dendrocopos atratus","","","None","","X","Diurnal","Diurnal",""
"Darjeeling Woodpecker","Dendrocopos darjellensis","","","None","X","","Diurnal","Diurnal","X"
"Great Spotted Woodpecker","Dendrocopos major","","","None","","X","Diurnal","Diurnal",""
"Himalayan Woodpecker","Dendrocopos himalayensis","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Sind Woodpecker","Dendrocopos assimilis","","","None","","X","Diurnal","Diurnal",""
"Crimson-breasted Woodpecker","Dryobates cathpharius","","","None","","","Diurnal","Diurnal",""
"Bay Woodpecker","Blythipicus pyrrhotis","","X","None","","","Diurnal","Diurnal","X"
"Greater Flameback","Chrysocolaptes guttacristatus","X","X","None","","","Diurnal","Diurnal","X"
"White-naped Woodpecker","Chrysocolaptes festivus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Rufous Woodpecker","Micropternus brachyurus","X","X","None","","","Diurnal","Diurnal","X"
"Pale-headed Woodpecker","Gecinulus grantia","","X","None","","","Diurnal","Diurnal","X"
"Himalayan Flameback","Dinopium shorii","","","Himalayas","","","Diurnal","Diurnal","X"
"Common Flameback","Dinopium javanense","","X","None","X","","Diurnal","Diurnal","X"
"Black-rumped Flameback","Dinopium benghalense","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Lesser Yellownape","Picus chlorolophus","X","X","None","","","Diurnal","Diurnal","X"
"Streak-throated Woodpecker","Picus xanthopygaeus","X","X","None","","","Diurnal","Diurnal","X"
"Scaly-bellied Woodpecker","Picus squamatus","","X","Himalayas","","","Diurnal","Diurnal","X"
"Grey-headed Woodpecker","Picus canus","X","X","None","","","Diurnal","Diurnal","X"
"Greater Yellownape","Chrysophlegma flavinucha","X","X","None","","","Diurnal","Diurnal","X"
"Great Slaty Woodpecker","Mulleripicus pulverulentus","","X","None","X","","Diurnal","Diurnal","X"
"White-bellied Woodpecker","Dryocopus javensis","X","X","None","","","Diurnal","Diurnal","X"
"Andaman Woodpecker","Dryocopus hodgei","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Collared Falconet","Microhierax caerulescens","","X","None","","","Diurnal","Diurnal","X"
"Pied Falconet","Microhierax melanoleucos","X","X","None","X","","Diurnal","Diurnal","X"
"Lesser Kestrel","Falco naumanni","","","None","","","Diurnal","Diurnal",""
"Common Kestrel","Falco tinnunculus","X","X","None","","","Diurnal","Diurnal","X"
"Red-necked Falcon","Falco chicquera","X","X","None","","","Diurnal","Diurnal","X"
"Red-footed Falcon","Falco vespertinus","","","None","","","Diurnal","Diurnal",""
"Amur Falcon","Falco amurensis","","X","None","","","Diurnal","Diurnal","X"
"Merlin","Falco columbarius","","","None","","","Diurnal","Diurnal",""
"Eurasian Hobby","Falco subbuteo","X","X","None","","","Diurnal","Diurnal","X"
"Oriental Hobby","Falco severus","","","None","X","","Diurnal","Diurnal","X"
"Laggar Falcon","Falco jugger","","X","None","X","","Diurnal","Diurnal","X"
"Saker Falcon","Falco cherrug","","","None","","X","Diurnal","Diurnal",""
"Peregrine Falcon","Falco peregrinus","X","X","None","","","Diurnal","Diurnal","X"
"Alexandrine Parakeet","Psittacula eupatria","X","X","None","","","Diurnal","Diurnal","X"
"Rose-ringed Parakeet","Psittacula krameri","X","X","None","","","Diurnal","Diurnal","X"
"Slaty-headed Parakeet","Psittacula himalayana","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
