"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Tibetan Sandgrouse","Syrrhaptes tibetanus","","","None","","","Diurnal","Diurnal",""
"Pallas's Sandgrouse","Syrrhaptes paradoxus","","","None","","X","Diurnal","Diurnal",""
"Pin-tailed Sandgrouse","Pterocles alchata","","","None","","X","Diurnal","Diurnal",""
"Chestnut-bellied Sandgrouse","Pterocles exustus","X","X","None","","","Diurnal","Diurnal","X"
"Spotted Sandgrouse","Pterocles senegallus","","","None","","","Diurnal","Diurnal",""
"Black-bellied Sandgrouse","Pterocles orientalis","","","None","","X","Diurnal","Diurnal",""
"Painted Sandgrouse","Pterocles indicus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Great Indian Bustard","Ardeotis nigriceps","","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Macqueen's Bustard","Chlamydotis macqueenii","","","None","X","","Diurnal","Diurnal","X"
"Bengal Florican","Houbaropsis bengalensis","","X","None","X","","Diurnal","Diurnal","X"
"Lesser Florican","Sypheotides indicus","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Little Bustard","Tetrax tetrax","","","None","","X","24 hour","Diurnal",""
"Andaman Coucal","Centropus andamanensis","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Greater Coucal","Centropus sinensis","X","X","None","","","Diurnal","Diurnal","X"
"Lesser Coucal","Centropus bengalensis","X","X","None","","","Diurnal","Diurnal","X"
"Sirkeer Malkoha","Taccocua leschenaultii","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Blue-faced Malkoha","Phaenicophaeus viridirostris","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Green-billed Malkoha","Phaenicophaeus tristis","X","X","None","","","Diurnal","Diurnal","X"
"Chestnut-winged Cuckoo","Clamator coromandus","","X","None","","","24 hour","Diurnal","X"
"Pied Cuckoo","Clamator jacobinus","X","X","None","","","24 hour","Diurnal","X"
"Asian Koel","Eudynamys scolopaceus","X","X","None","","","24 hour","Diurnal","X"
"Asian Emerald Cuckoo","Chrysococcyx maculatus","","","None","","","24 hour","Diurnal",""
"Violet Cuckoo","Chrysococcyx xanthorhynchus","","X","None","","","Diurnal","Diurnal","X"
"Horsfield's Bronze Cuckoo","Chrysococcyx basalis","","","None","","X","Diurnal","Diurnal",""
"Banded Bay Cuckoo","Cacomantis sonneratii","X","X","None","","","Diurnal","Diurnal","X"
"Plaintive Cuckoo","Cacomantis merulinus","","X","None","","","24 hour","Diurnal","X"
"Grey-bellied Cuckoo","Cacomantis passerinus","X","X","Indian Subcontinent","","","24 hour","Diurnal","X"
"Fork-tailed Drongo Cuckoo","Surniculus dicruroides","","X","None","","","24 hour","Diurnal","X"
"Square-tailed Drongo Cuckoo","Surniculus lugubris","","X","None","","","24 hour","Diurnal","X"
"Large Hawk Cuckoo","Hierococcyx sparverioides","X","X","None","","","24 hour","Diurnal","X"
"Common Hawk Cuckoo","Hierococcyx varius","X","X","Indian Subcontinent","","","24 hour","Diurnal","X"
"Hodgson's Hawk Cuckoo","Hierococcyx nisicolor","","","None","","","24 hour","Diurnal",""
"Lesser Cuckoo","Cuculus poliocephalus","","X","None","","","24 hour","Diurnal","X"
"Indian Cuckoo","Cuculus micropterus","X","X","None","","","24 hour","Diurnal","X"
"Himalayan Cuckoo","Cuculus saturatus","","X","None","","","Diurnal","Diurnal","X"
"Common Cuckoo","Cuculus canorus","X","X","None","","","Diurnal","Diurnal","X"
"Sri Lanka Frogmouth","Batrachostomus moniliger","","","Western Ghats & Sri Lanka","","","Nocturnal","Nocturnal",""
"Hodgson's Frogmouth","Batrachostomus hodgsoni","","","None","X","","Nocturnal","Nocturnal",""
"Great Eared Nightjar","Lyncornis macrotis","","","None","X","","Nocturnal","Nocturnal",""
"Jungle Nightjar","Caprimulgus indicus","","","Indian Subcontinent","","","Nocturnal","Nocturnal",""
"Grey Nightjar","Caprimulgus jotaka","","","None","","","Nocturnal","Nocturnal",""
"European Nightjar","Caprimulgus europaeus","","","None","","","Nocturnal","Nocturnal",""
"Sykes's Nightjar","Caprimulgus mahrattensis","","","None","X","","Nocturnal","Nocturnal",""
"Large-tailed Nightjar","Caprimulgus macrurus","","","None","","","Nocturnal","Nocturnal",""
"Andaman Nightjar","Caprimulgus andamanicus","","","Andaman and Nicobar Islands","","","Nocturnal","Nocturnal",""
"Jerdon's Nightjar","Caprimulgus atripennis","","","Indian Subcontinent","","","Nocturnal","Nocturnal",""
"Indian Nightjar","Caprimulgus asiaticus","","","None","","","Nocturnal","Nocturnal",""
"Savanna Nightjar","Caprimulgus affinis","","","None","","","Nocturnal","Nocturnal",""
"White-rumped Spinetail","Zoonavena sylvatica","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"White-throated Needletail","Hirundapus caudacutus","","","None","X","","Diurnal","Diurnal","X"
"Silver-backed Needletail","Hirundapus cochinchinensis","","","None","","","Diurnal","Diurnal",""
"Brown-backed Needletail","Hirundapus giganteus","X","X","None","X","","Diurnal","Diurnal","X"
"Plume-toed Swiftlet","Collocalia affinis","","","None","","","Diurnal","Diurnal",""
"Indian Swiftlet","Aerodramus unicolor","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Himalayan Swiftlet","Aerodramus brevirostris","X","X","None","","","Diurnal","Diurnal","X"
"Edible-nest Swiftlet","Aerodramus fuciphagus","","","None","","","Diurnal","Diurnal",""
"Alpine Swift","Tachymarptis melba","X","X","None","X","","Diurnal","Diurnal","X"
"Common Swift","Apus apus","","","None","","","Diurnal","Diurnal",""
"Pacific Swift","Apus pacificus","","","None","","X","Diurnal","Diurnal",""
"Blyth’s Swift","Apus leuconyx","","","None","","","Diurnal","Diurnal",""
"Dark-rumped Swift","Apus acuticauda","","","None","X","","Diurnal","Diurnal","X"
"Indian House Swift","Apus affinis","X","X","None","","","Diurnal","Diurnal","X"
"Nepal House Swift","Apus nipalensis","","","None","","","Diurnal","Diurnal",""
"Asian Palm Swift","Cypsiurus balasiensis","X","X","None","","","Diurnal","Diurnal","X"
"Crested Treeswift","Hemiprocne coronata","X","X","None","X","","Diurnal","Diurnal","X"
"Water Rail","Rallus aquaticus","","","None","","","Diurnal","Diurnal",""
"Brown-cheeked Rail","Rallus indicus","","","None","","","Diurnal","Diurnal",""
"Corncrake","Crex crex","","","None","","X","24 hour","Diurnal",""
"Slaty-breasted Rail","Lewinia striata","","X","None","","","Diurnal","Diurnal","X"
"Spotted Crake","Porzana porzana","","","None","","","Diurnal","Diurnal",""
"Common Moorhen","Gallinula chloropus","X","X","None","","","Diurnal","Diurnal","X"
"Eurasian Coot","Fulica atra","X","X","None","","","Diurnal","Diurnal","X"
"Grey-headed Swamphen","Porphyrio poliocephalus","X","X","None","","","Diurnal","Diurnal","X"
"White-browed Crake","Poliolimnas cinereus","","","None","","X","Diurnal","Diurnal",""
"Watercock","Gallicrex cinerea","X","X","None","X","","Diurnal","Diurnal","X"
"White-breasted Waterhen","Amaurornis phoenicurus","X","X","None","","","24 hour","Diurnal","X"
"Andaman Crake","Rallina canningi","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Red-legged Crake","Rallina fasciata","","","None","","","24 hour","24 hour",""
"Slaty-legged Crake","Rallina eurizonoides","","X","None","","","24 hour","24 hour","X"
"Ruddy-breasted Crake","Zapornia fusca","X","X","None","","","Diurnal","Diurnal","X"
"Brown Crake","Zapornia akool","X","X","None","","","Diurnal","Diurnal","X"
"Little Crake","Zapornia parva","","","None","","","Diurnal","Diurnal",""
"Baillon's Crake","Zapornia pusilla","","X","None","","","24 hour","Diurnal","X"
"Black-tailed Crake","Zapornia bicolor","","","None","X","","Diurnal","Diurnal","X"
"Masked Finfoot","Heliopais personatus","","","None","","X","24 hour","24 hour",""
"Demoiselle Crane","Grus virgo","X","X","None","X","","Diurnal","Diurnal","X"
"Siberian Crane","Leucogeranus leucogeranus","","","None","","X","No information","No information",""
"Sarus Crane","Antigone antigone","X","X","None","","","Diurnal","Diurnal","X"
"Common Crane","Grus grus","X","X","None","","","Diurnal","Diurnal","X"
"Black-necked Crane","Grus nigricollis","","","None","X","","Diurnal","Diurnal","X"
"Indian Thick-knee","Burhinus indicus","X","X","None","","","24 hour","24 hour","X"
"Great Thick-knee","Esacus recurvirostris","X","X","None","X","","24 hour","24 hour","X"
"Beach Thick-knee","Esacus magnirostris","","","None","","","24 hour","24 hour",""
"Black-winged Stilt","Himantopus himantopus","X","X","None","","","24 hour","24 hour","X"
"Pied Avocet","Recurvirostra avosetta","X","X","None","","","24 hour","24 hour","X"
"Ibisbill","Ibidorhyncha struthersii","","","None","X","","Diurnal","Diurnal","X"
"Eurasian Oystercatcher","Haematopus ostralegus","","X","None","","","24 hour","24 hour","X"
"Grey Plover","Pluvialis squatarola","X","X","None","","","24 hour","24 hour","X"
"Eurasian Golden Plover","Pluvialis apricaria","","","None","","X","24 hour","24 hour",""
"American Golden Plover","Pluvialis dominica","","","None","","X","24 hour","24 hour",""
"Pacific Golden Plover","Pluvialis fulva","X","X","None","","","24 hour","24 hour","X"
"Northern Lapwing","Vanellus vanellus","X","X","None","","","24 hour","24 hour","X"
"River Lapwing","Vanellus duvaucelii","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-wattled Lapwing","Vanellus malabaricus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Grey-headed Lapwing","Vanellus cinereus","X","X","None","","","Diurnal","Diurnal","X"
"Red-wattled Lapwing","Vanellus indicus","X","X","None","","","24 hour","24 hour","X"
"Sociable Lapwing","Vanellus gregarius","","","None","X","","Diurnal","Diurnal","X"
"White-tailed Lapwing","Vanellus leucurus","X","X","None","","","Diurnal","Diurnal","X"
"Lesser Sand Plover","Charadrius mongolus","X","X","None","","","24 hour","24 hour","X"
"Greater Sand Plover","Charadrius leschenaultii","","","None","","","Diurnal","Diurnal",""
"Caspian Plover","Charadrius asiaticus","","","None","","","24 hour","24 hour",""
"Kentish Plover","Charadrius alexandrinus","X","X","None","","","Diurnal","Diurnal","X"
"Common Ringed Plover","Charadrius hiaticula","","","None","","","24 hour","24 hour",""
"Long-billed Plover","Charadrius placidus","","","None","X","","Diurnal","Diurnal","X"
"Little Ringed Plover","Charadrius dubius","X","X","None","","","Diurnal","Diurnal","X"
"Oriental Plover","Charadrius veredus","","","None","","X","24 hour","24 hour",""
"Greater Painted-snipe","Rostratula benghalensis","X","X","None","","","24 hour","24 hour","X"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus","X","X","None","","","Diurnal","Diurnal","X"
"Bronze-winged Jacana","Metopidius indicus","X","X","None","","","Diurnal","Diurnal","X"
"Whimbrel","Numenius phaeopus","X","X","None","","","24 hour","24 hour","X"
"Eurasian Curlew","Numenius arquata","X","X","None","","","24 hour","24 hour","X"
"Bar-tailed Godwit","Limosa lapponica","","X","None","","","24 hour","24 hour","X"
"Black-tailed Godwit","Limosa limosa","X","X","None","","","Diurnal","Diurnal","X"
"Ruddy Turnstone","Arenaria interpres","","X","None","","","Diurnal","Diurnal","X"
"Great Knot","Calidris tenuirostris","","X","None","X","","24 hour","24 hour","X"
"Red Knot","Calidris canutus","","","None","","","24 hour","24 hour",""
"Ruff","Calidris pugnax","X","X","None","","","24 hour","24 hour","X"
"Broad-billed Sandpiper","Calidris falcinellus","","X","None","","","24 hour","24 hour","X"
"Sharp-tailed Sandpiper","Calidris acuminata","","","None","","X","Diurnal","Diurnal",""
"Curlew Sandpiper","Calidris ferruginea","X","X","None","","","24 hour","24 hour","X"
"Temminck's Stint","Calidris temminckii","X","X","None","","","24 hour","24 hour","X"
"Long-toed Stint","Calidris subminuta","","","None","","","24 hour","24 hour",""
"Spoon-billed Sandpiper","Calidris pygmaea","","","None","","","Diurnal","Diurnal",""
"Red-necked Stint","Calidris ruficollis","","","None","","","24 hour","24 hour",""
"Sanderling","Calidris alba","","X","None","","","24 hour","24 hour","X"
"Dunlin","Calidris alpina","X","X","None","","","24 hour","24 hour","X"
"Little Stint","Calidris minuta","X","X","None","","","24 hour","24 hour","X"
"Buff-breasted Sandpiper","Calidris subruficollis","","","None","","X","Diurnal","Diurnal",""
"Pectoral Sandpiper","Calidris melanotos","","","None","","X","24 hour","Diurnal",""
"Asian Dowitcher","Limnodromus semipalmatus","","","None","","X","Diurnal","Diurnal",""
"Long-billed Dowitcher","Limnodromus scolopaceus","","","None","","X","24 hour","24 hour",""
"Jack Snipe","Lymnocryptes minimus","","","None","","","24 hour","24 hour",""
"Eurasian Woodcock","Scolopax rusticola","","","None","","","24 hour","24 hour",""
"Solitary Snipe","Gallinago solitaria","","","None","","","Diurnal","Diurnal",""
"Wood Snipe","Gallinago nemoricola","","","None","","X","Diurnal","Diurnal",""
"Great Snipe","Gallinago media","","","None","","","24 hour","24 hour",""
"Common Snipe","Gallinago gallinago","X","X","None","","","24 hour","24 hour","X"
"Pintail Snipe","Gallinago stenura","X","X","None","","","24 hour","24 hour","X"
"Swinhoe's Snipe","Gallinago megala","","","None","","","24 hour","24 hour",""
"Terek Sandpiper","Xenus cinereus","X","X","None","","","24 hour","24 hour","X"
"Red-necked Phalarope","Phalaropus lobatus","","","None","","","Diurnal","Diurnal",""
"Red Phalarope","Phalaropus fulicarius","","","None","","X","Diurnal","Diurnal",""
"Common Sandpiper","Actitis hypoleucos","X","X","None","","","24 hour","24 hour","X"
"Green Sandpiper","Tringa ochropus","X","X","None","","","24 hour","24 hour","X"
"Grey-tailed Tattler","Tringa brevipes","","","None","","X","24 hour","24 hour",""
"Spotted Redshank","Tringa erythropus","X","X","None","","","24 hour","24 hour","X"
"Common Greenshank","Tringa nebularia","X","X","None","","","24 hour","24 hour","X"
"Nordmann's Greenshank","Tringa guttifer","","","None","","X","24 hour","24 hour",""
"Marsh Sandpiper","Tringa stagnatilis","X","X","None","","","24 hour","24 hour","X"
"Wood Sandpiper","Tringa glareola","X","X","None","","","24 hour","24 hour","X"
"Common Redshank","Tringa totanus","X","X","None","","","24 hour","24 hour","X"
"Small Buttonquail","Turnix sylvaticus","","","None","X","","Diurnal","Diurnal","X"
"Yellow-legged Buttonquail","Turnix tanki","","","None","X","","Diurnal","Diurnal","X"
"Barred Buttonquail","Turnix suscitator","X","X","None","","","24 hour","Diurnal","X"
"Crab-plover","Dromas ardeola","","","None","","","24 hour","24 hour",""
"Cream-coloured Courser","Cursorius cursor","","","None","","","Diurnal","Diurnal",""
"Indian Courser","Cursorius coromandelicus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Jerdon's Courser","Rhinoptilus bitorquatus","","","Southern Deccan Plateau","","","Nocturnal","Nocturnal","X"
"Collared Pratincole","Glareola pratincola","","","None","","","24 hour","24 hour",""
"Oriental Pratincole","Glareola maldivarum","","X","None","","","Diurnal","Diurnal","X"
"Small Pratincole","Glareola lactea","X","X","None","","","Diurnal","Diurnal","X"
"South Polar Skua","Stercorarius maccormicki","","","None","","X","Diurnal","Diurnal",""
"Brown Skua","Stercorarius antarcticus","","","None","","X","Diurnal","Diurnal",""
"Pomarine Skua","Stercorarius pomarinus","","","None","","","Diurnal","Diurnal",""
"Arctic Skua","Stercorarius parasiticus","","","None","","","Diurnal","Diurnal",""
"Long-tailed Skua","Stercorarius longicaudus","","","None","","","Diurnal","Diurnal",""
"Black-legged Kittiwake","Rissa tridactyla","","","None","","X","24 hour","Diurnal",""
"Sabine's Gull","Xema sabini","","","None","","X","Diurnal","Diurnal",""
"Slender-billed Gull","Chroicocephalus genei","X","X","None","","","Diurnal","Diurnal","X"
"Black-headed Gull","Chroicocephalus ridibundus","X","X","None","","","24 hour","24 hour","X"
"Brown-headed Gull","Chroicocephalus brunnicephalus","X","X","None","","","Diurnal","Diurnal","X"
"Little Gull","Hydrocoloeus minutus","","","None","","X","Diurnal","Diurnal",""
"Franklin's Gull","Leucophaeus pipixcan","","","None","","X","Diurnal","Diurnal",""
"White-eyed Gull","Ichthyaetus leucophthalmus","","","None","","X","Diurnal","Diurnal",""
"Sooty Gull","Ichthyaetus hemprichii","","","None","","X","24 hour","Diurnal",""
"Pallas's Gull","Ichthyaetus ichthyaetus","X","X","None","","","24 hour","24 hour","X"
"Mew Gull","Larus canus","","","None","","X","Diurnal","Diurnal",""
"Mongolian Gull","Larus smithsonianus mongolicus","","","None","","X","24 hour","24 hour",""
"Caspian Gull","Larus cachinnans","","","None","","X","24 hour","24 hour",""
"Lesser Black-backed Gull","Larus fuscus","X","X","None","","","24 hour","24 hour","X"
"Brown Noddy","Anous stolidus","","","None","","","24 hour","24 hour",""
"Black Noddy","Anous minutus","","","None","","X","24 hour","Diurnal",""
"Lesser Noddy","Anous tenuirostris","","","None","","","Diurnal","Diurnal",""
"White Tern","Gygis alba","","","None","","X","Diurnal","Diurnal",""
"Sooty Tern","Onychoprion fuscatus","","","None","","","24 hour","24 hour",""
"Bridled Tern","Onychoprion anaethetus","","","None","","","24 hour","24 hour",""
"Little Tern","Sternula albifrons","X","X","None","","","Diurnal","Diurnal","X"
"Saunders's Tern","Sternula saundersi","","","None","","","Diurnal","Diurnal",""
"Gull-billed Tern","Gelochelidon nilotica","X","X","None","","","Diurnal","Diurnal","X"
"Caspian Tern","Hydroprogne caspia","X","X","None","","","Diurnal","Diurnal","X"
"Black Tern","Chlidonias niger","","","None","","X","24 hour","Diurnal",""
"White-winged Tern","Chlidonias leucopterus","","","None","","","Diurnal","24 hour",""
"Whiskered Tern","Chlidonias hybrida","X","X","None","","","Diurnal","Diurnal","X"
"Roseate Tern","Sterna dougallii","","","None","","","Diurnal","Diurnal",""
"Black-naped Tern","Sterna sumatrana","","","None","","","Diurnal","Diurnal",""
"Common Tern","Sterna hirundo","","X","None","","","24 hour","Diurnal","X"
"Arctic Tern","Sterna paradisaea","","","None","","X","24 hour","Diurnal",""
"Black-bellied Tern","Sterna acuticauda","X","X","None","X","","Diurnal","Diurnal","X"
"River Tern","Sterna aurantia","X","X","None","X","","Diurnal","Diurnal","X"
"White-cheeked Tern","Sterna repressa","","","None","","","Diurnal","Diurnal",""
"Greater Crested Tern","Thalasseus bergii","","X","None","","","24 hour","24 hour","X"
"Sandwich Tern","Thalasseus sandvicensis","","X","None","","","Diurnal","Diurnal","X"
"Lesser Crested Tern","Thalasseus bengalensis","X","X","None","","","24 hour","24 hour","X"
"Indian Skimmer","Rynchops albicollis","","X","None","X","","24 hour","24 hour","X"
"White-tailed Tropicbird","Phaethon lepturus","","","None","","X","Diurnal","Diurnal",""
"Red-billed Tropicbird","Phaethon aethereus","","","None","","X","Diurnal","Diurnal",""
"Red-tailed Tropicbird","Phaethon rubricauda","","","None","","X","Diurnal","Diurnal",""
"Red-throated Diver","Gavia stellata","","","None","","X","Diurnal","Diurnal",""
"Black-throated Diver","Gavia arctica","","","None","","X","24 hour","Diurnal",""
"Wilson's Storm-petrel","Oceanites oceanicus","","","None","","","24 hour","Diurnal",""
"White-faced Storm-petrel","Pelagodroma marina","","","None","","X","24 hour","Diurnal",""
"Black-bellied Storm-petrel","Fregetta tropica","","","None","","X","24 hour","Diurnal",""
"Swinhoe's Storm-petrel","Oceanodroma monorhis","","","None","","","24 hour","Diurnal",""
"Barau's Petrel","Pterodroma baraui","","","None","","X","24 hour","Diurnal",""
"Jouanin's Petrel","Bulweria fallax","","","None","","","24 hour","Diurnal",""
"Streaked Shearwater","Calonectris leucomelas","","","None","","","24 hour","Diurnal",""
"Cory's Shearwater","Calonectris borealis","","","None","","X","24 hour","Diurnal",""
"Flesh-footed Shearwater","Ardenna carneipes","","","None","","","24 hour","Diurnal",""
"Wedge-tailed Shearwater","Ardenna pacifica","","","None","","","24 hour","Diurnal",""
"Short-tailed Shearwater","Ardenna tenuirostris","","","None","","","24 hour","Diurnal",""
"Tropical Shearwater","Puffinus bailloni","","","None","","X","24 hour","Diurnal",""
"Persian Shearwater","Puffinus persicus","","","None","","","24 hour","Diurnal",""
"Asian Openbill","Anastomus oscitans","X","X","None","","","Diurnal","Diurnal","X"
"Black Stork","Ciconia nigra","X","X","None","","","Diurnal","Diurnal","X"
"Woolly-necked Stork","Ciconia episcopus","X","X","None","","","Diurnal","Diurnal","X"
"White Stork","Ciconia ciconia","","X","None","","","24 hour","24 hour","X"
"Black-necked Stork","Ephippiorhynchus asiaticus","X","X","None","X","","24 hour","24 hour","X"
"Lesser Adjutant","Leptoptilos javanicus","X","X","None","","","Diurnal","Diurnal","X"
"Greater Adjutant","Leptoptilos dubius","","X","None","X","","Diurnal","Diurnal","X"
"Painted Stork","Mycteria leucocephala","X","X","None","","","24 hour","24 hour","X"
"Lesser Frigatebird","Fregata ariel","","","None","","X","Diurnal","Diurnal",""
"Christmas Island Frigatebird","Fregata andrewsi","","","None","","X","Diurnal","Diurnal",""
"Great Frigatebird","Fregata minor","","","None","","X","Diurnal","Diurnal",""
"Masked Booby","Sula dactylatra","","","None","","","Diurnal","Diurnal",""
"Brown Booby","Sula leucogaster","","","None","","X","24 hour","24 hour",""
"Red-footed Booby","Sula sula","","","None","","X","24 hour","24 hour",""
"Oriental Darter","Anhinga melanogaster","X","X","None","","","Diurnal","Diurnal","X"
"Little Cormorant","Microcarbo niger","X","X","None","","","Diurnal","Diurnal","X"
"Great Cormorant","Phalacrocorax carbo","X","X","None","","","Diurnal","Diurnal","X"
"Indian Cormorant","Phalacrocorax fuscicollis","X","X","None","","","Diurnal","Diurnal","X"
"Great White Pelican","Pelecanus onocrotalus","X","X","None","","","24 hour","24 hour","X"
"Spot-billed Pelican","Pelecanus philippensis","X","X","None","","","24 hour","24 hour","X"
"Dalmatian Pelican","Pelecanus crispus","X","X","None","","","24 hour","24 hour","X"
"Great Bittern","Botaurus stellaris","","","None","","","24 hour","Diurnal",""
"Yellow Bittern","Ixobrychus sinensis","X","X","None","","","24 hour","24 hour","X"
"Little Bittern","Ixobrychus minutus","","","None","","","24 hour","24 hour",""
"Cinnamon Bittern","Ixobrychus cinnamomeus","X","X","None","","","24 hour","24 hour","X"
"Black Bittern","Ixobrychus flavicollis","X","X","None","","","24 hour","24 hour","X"
"Grey Heron","Ardea cinerea","X","X","None","","","24 hour","24 hour","X"
"White-bellied Heron","Ardea insignis","","","None","X","","Diurnal","Diurnal","X"
"Goliath Heron","Ardea goliath","","","None","","X","24 hour","24 hour",""
"Purple Heron","Ardea purpurea","X","X","None","","","24 hour","24 hour","X"
"Great Egret","Ardea alba","X","X","None","","","Diurnal","Diurnal","X"
"Intermediate Egret","Ardea intermedia","X","X","None","","","Diurnal","Diurnal","X"
"Chinese Egret","Egretta eulophotes","","","None","","","No information","No information",""
"Little Egret","Egretta garzetta","X","X","None","","","Diurnal","Diurnal","X"
"Western Reef Egret","Egretta gularis","X","X","None","","","24 hour","24 hour","X"
"Pacific Reef Egret","Egretta sacra","","","None","","","24 hour","24 hour",""
"Cattle Egret","Bubulcus ibis","X","X","None","","","24 hour","24 hour","X"
"Indian Pond Heron","Ardeola grayii","X","X","None","","","24 hour","24 hour","X"
"Chinese Pond Heron","Ardeola bacchus","","","None","","","24 hour","24 hour",""
"Javan Pond Heron","Ardeola speciosa","","","None","","X","24 hour","24 hour",""
"Striated Heron","Butorides striata","X","X","None","","","24 hour","24 hour","X"
"Black-crowned Night Heron","Nycticorax nycticorax","X","X","None","","","24 hour","24 hour","X"
"White-eared Night Heron","Gorsachius magnificus","","","None","","X","24 hour","24 hour",""
"Malayan Night Heron","Gorsachius melanolophus","","","None","X","","24 hour","24 hour","X"
"Glossy Ibis","Plegadis falcinellus","X","X","None","","","Diurnal","Diurnal","X"
"Black-headed Ibis","Threskiornis melanocephalus","X","X","None","","","Diurnal","Diurnal","X"
"Red-naped Ibis","Pseudibis papillosa","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Eurasian Spoonbill","Platalea leucorodia","X","X","None","","","24 hour","24 hour","X"
"Osprey","Pandion haliaetus","X","X","None","","","Diurnal","Diurnal","X"
"Black-winged Kite","Elanus caeruleus","X","X","None","","","Diurnal","Diurnal","X"
"Bearded Vulture","Gypaetus barbatus","X","X","None","","","Diurnal","Diurnal","X"
"Egyptian Vulture","Neophron percnopterus","X","X","None","","","Diurnal","Diurnal","X"
"European Honey Buzzard","Pernis apivorus","","","None","","","Diurnal","Diurnal",""
"Oriental Honey Buzzard","Pernis ptilorhynchus","X","X","None","","","Diurnal","Diurnal","X"
"Jerdon's Baza","Aviceda jerdoni","","X","None","X","","Diurnal","Diurnal","X"
"Black Baza","Aviceda leuphotes","X","X","None","","","Diurnal","Diurnal","X"
"Red-headed Vulture","Sarcogyps calvus","X","X","None","X","","Diurnal","Diurnal","X"
"Cinereous Vulture","Aegypius monachus","X","X","None","X","","Diurnal","Diurnal","X"
"White-rumped Vulture","Gyps bengalensis","X","X","None","X","","Diurnal","Diurnal","X"
"Indian Vulture","Gyps indicus","X","X","Indian Subcontinent","X","","Diurnal","Diurnal","X"
"Slender-billed Vulture","Gyps tenuirostris","","X","None","X","","Diurnal","Diurnal","X"
"Himalayan Vulture","Gyps himalayensis","X","X","None","X","","Diurnal","Diurnal","X"
"Griffon Vulture","Gyps fulvus","X","X","None","","","Diurnal","Diurnal","X"
"Nicobar Serpent Eagle","Spilornis klossi","","","Nicobar Islands","","","Diurnal","Diurnal","X"
"Crested Serpent Eagle","Spilornis cheela","X","X","None","","","Diurnal","Diurnal","X"
"Andaman Serpent Eagle","Spilornis elgini","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Short-toed Snake Eagle","Circaetus gallicus","X","X","None","","","Diurnal","Diurnal","X"
"Changeable Hawk Eagle","Nisaetus cirrhatus","X","X","None","","","Diurnal","Diurnal","X"
"Mountain Hawk Eagle","Nisaetus nipalensis","X","X","None","","","Diurnal","Diurnal","X"
"Legge's Hawk Eagle","Nisaetus kelaarti","","X","Western Ghats & Sri Lanka","","","Diurnal","Diurnal","X"
"Rufous-bellied Eagle","Lophotriorchis kienerii","X","X","None","","","Diurnal","Diurnal","X"
"Black Eagle","Ictinaetus malaiensis","X","X","None","","","Diurnal","Diurnal","X"
"Indian Spotted Eagle","Clanga hastata","X","X","None","","","Diurnal","Diurnal","X"
"Greater Spotted Eagle","Clanga clanga","X","X","None","","","Diurnal","Diurnal","X"
"Booted Eagle","Hieraaetus pennatus","X","X","None","","","Diurnal","Diurnal","X"
"Tawny Eagle","Aquila rapax","X","X","None","","","Diurnal","Diurnal","X"
"Steppe Eagle","Aquila nipalensis","X","X","None","","","Diurnal","Diurnal","X"
"Eastern Imperial Eagle","Aquila heliaca","X","X","None","","","Diurnal","Diurnal","X"
"Golden Eagle","Aquila chrysaetos","","X","None","","","Diurnal","Diurnal","X"
"Bonelli's Eagle","Aquila fasciata","X","X","None","","","Diurnal","Diurnal","X"
"White-eyed Buzzard","Butastur teesa","X","X","None","","","Diurnal","Diurnal","X"
"Rufous-winged Buzzard","Butastur liventer","","","None","","X","Diurnal","Diurnal",""
"Grey-faced Buzzard","Butastur indicus","","","None","","X","Diurnal","Diurnal",""
"Western Marsh Harrier","Circus aeruginosus","X","X","None","","","Diurnal","Diurnal","X"
"Eastern Marsh Harrier","Circus spilonotus","","","None","","","Diurnal","Diurnal",""
"Hen Harrier","Circus cyaneus","","X","None","","","Diurnal","Diurnal","X"
"Pallid Harrier","Circus macrourus","X","X","None","","","Diurnal","Diurnal","X"
"Pied Harrier","Circus melanoleucos","X","X","None","","","Diurnal","Diurnal","X"
"Montagu's Harrier","Circus pygargus","X","X","None","","","Diurnal","Diurnal","X"
"Crested Goshawk","Accipiter trivirgatus","X","X","None","","","Diurnal","Diurnal","X"
"Shikra","Accipiter badius","X","X","None","","","Diurnal","Diurnal","X"
