eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
White-crowned Penduline-Tit,Remiz coronatus,wcptit1,Passeriformes,Remizidae (Penduline-Tits),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,White-crowned Penduline Tit,Remiz coronatus
Greater Hoopoe-Lark,Alaemon alaudipes,grhlar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Resident,,,Greater Hoopoe Lark,Alaemon alaudipes
Rufous-tailed Lark,Ammomanes phoenicura,rutlar2,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,,,Rufous-tailed Lark,Ammomanes phoenicura
Desert Lark,Ammomanes deserti,deslar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland,Resident,,,Desert Lark,Ammomanes deserti
Black-crowned Sparrow-Lark,Eremopterix nigriceps,bcslar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Resident,,,Black-crowned Sparrow Lark,Eremopterix nigriceps
Ashy-crowned Sparrow-Lark,Eremopterix griseus,ascspl1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland,Resident,,,Ashy-crowned Sparrow Lark,Eremopterix griseus
Singing Bushlark,Mirafra cantillans,sinbus1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland,Resident,1,,Singing Bushlark,Mirafra cantillans
Bengal Bushlark,Mirafra assamica,benbus1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,,,Bengal Bushlark,Mirafra assamica
Jerdon's Bushlark,Mirafra affinis,jerbus2,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,,,Jerdon's Bushlark,Mirafra affinis
Indian Bushlark,Mirafra erythroptera,indbus2,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Resident,,,Indian Bushlark,Mirafra erythroptera
Horned Lark,Eremophila alpestris,horlar,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,,,Horned Lark,Eremophila alpestris
Greater Short-toed Lark,Calandrella brachydactyla,gstlar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Winter Migrant,,,Greater Short-toed Lark,Calandrella brachydactyla
Mongolian Short-toed Lark,Calandrella dukhunensis,sstlar4,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,,,,,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Winter Migrant,,,Sykes's Short-toed Lark,Calandrella dukhunensis
Hume's Lark,Calandrella acutirostris,humlar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Winter Migrant & Localized Summer Migrant,,,Hume's Short-toed Lark,Calandrella acutirostris
Bimaculated Lark,Melanocorypha bimaculata,bimlar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland,Winter Migrant,,,Bimaculated Lark,Melanocorypha bimaculata
Tibetan Lark,Melanocorypha maxima,tiblar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,,1,Tibetan Lark,Melanocorypha maxima
Turkestan Short-toed Lark,Alaudala heinei,tstlar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland,Uncertain,,1,Lesser Short-toed Lark,Alaudala rufescens
Sand Lark,Alaudala raytal,sanlar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident,,,Sand Lark,Alaudala raytal
Eurasian Skylark,Alauda arvensis,skylar,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Winter Migrant,,,Eurasian Skylark,Alauda arvensis
Oriental Skylark,Alauda gulgula,orisky1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident & Local Migrant,,,Oriental Skylark,Alauda gulgula
Crested Lark,Galerida cristata,crelar2,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,,,Crested Lark,Galerida cristata
Malabar Lark,Galerida malabarica,mallar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Grassland,Resident,,,Malabar Lark,Galerida malabarica
Tawny Lark,Galerida deva,tawlar1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Grassland,Resident,,,Sykes's Lark,Galerida deva
Common Tailorbird,Orthotomus sutorius,comtai1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Stable,Moderate Increase,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Common Tailorbird,Orthotomus sutorius
Dark-necked Tailorbird,Orthotomus atrogularis,dantai1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,,,Dark-necked Tailorbird,Orthotomus atrogularis
Himalayan Prinia,Prinia crinigera,strpri2,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,,,Striated Prinia,Prinia crinigera
Black-throated Prinia,Prinia atrogularis,hilpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,None,Resident,,,Black-throated Prinia,Prinia atrogularis
Hill Prinia,Prinia superciliaris,hilpri2,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,1,Hill Prinia,Prinia superciliaris
Gray-crowned Prinia,Prinia cinereocapilla,gycpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Vulnerable,Schedule-IV,,Appendix II,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,Yes,Yes,Indian Subcontinent,Grassland and Scrub,Resident,,,Grey-crowned Prinia,Prinia cinereocapilla
Rufous-fronted Prinia,Prinia buchanani,rufpri2,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,High,Strong Decline,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,,,Rufous-fronted Prinia,Prinia buchanani
Rufescent Prinia,Prinia rufescens,rufpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Rufescent Prinia,Prinia rufescens
Gray-breasted Prinia,Prinia hodgsonii,gybpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Grey-breasted Prinia,Prinia hodgsonii
Delicate Prinia,Prinia lepida,delpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Moderate Increase,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident,,,Graceful Prinia,Prinia gracilis
Jungle Prinia,Prinia sylvatica,junpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,,,Jungle Prinia,Prinia sylvatica
Yellow-bellied Prinia,Prinia flaviventris,yebpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,,,Yellow-bellied Prinia,Prinia flaviventris
Ashy Prinia,Prinia socialis,ashpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,,,Ashy Prinia,Prinia socialis
Plain Prinia,Prinia inornata,plapri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Plain Prinia,Prinia inornata
Zitting Cisticola,Cisticola juncidis,zitcis1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident,,,Zitting Cisticola,Cisticola juncidis
Golden-headed Cisticola,Cisticola exilis,gohcis1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Resident,1,,Golden-headed Cisticola,Cisticola exilis
Thick-billed Warbler,Arundinax aedon,thbwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant,,,Thick-billed Warbler,Arundinax aedon
Booted Warbler,Iduna caligata,boowar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,No,No,None,Grassland and Scrub,Winter Migrant,,,Booted Warbler,Iduna caligata
Sykes's Warbler,Iduna rama,sykwar2,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,,,,,24 hour,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,,,Sykes's Warbler,Iduna rama
Black-browed Reed Warbler,Acrocephalus bistrigiceps,bbrwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,Black-browed Reed Warbler,Acrocephalus bistrigiceps
Moustached Warbler,Acrocephalus melanopogon,mouwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,Moustached Warbler,Acrocephalus melanopogon
Sedge Warbler,Acrocephalus schoenobaenus,sedwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,,,Sedge Warbler,Acrocephalus schoenobaenus
Paddyfield Warbler,Acrocephalus agricola,padwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,No information,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,Paddyfield Warbler,Acrocephalus agricola
Blunt-winged Warbler,Acrocephalus concinens,blwwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant & Localized Summer Migrant,,1,Blunt-winged Warbler,Acrocephalus concinens
Blyth's Reed Warbler,Acrocephalus dumetorum,blrwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Very Large,24 hour,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant,,,Blyth's Reed Warbler,Acrocephalus dumetorum
Large-billed Reed Warbler,Acrocephalus orinus,labrew1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Data Deficient,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Uncertain,,1,Large-billed Reed Warbler,Acrocephalus orinus
Great Reed Warbler,Acrocephalus arundinaceus,grrwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Uncertain,,,Great Reed Warbler,Acrocephalus arundinaceus
Oriental Reed Warbler,Acrocephalus orientalis,orrwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,,No,No,No,None,Wetland,Winter Migrant,,,Oriental Reed Warbler,Acrocephalus orientalis
Clamorous Reed Warbler,Acrocephalus stentoreus,clrwar1,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident & Local Migrant,,,Clamorous Reed Warbler,Acrocephalus stentoreus
Pallas's Grasshopper Warbler,Helopsaltes certhiola,pagwar1,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,Rusty-rumped Warbler,Helopsaltes certhiola
Lanceolated Warbler,Locustella lanceolata,lanwar,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Uncertain,,1,Lanceolated Warbler,Locustella lanceolata
Brown Bush Warbler,Locustella luteoventris,brbwar2,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Summer Migrant,,,Brown Bush Warbler,Locustella luteoventris
Common Grasshopper-Warbler,Locustella naevia,cogwar1,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,Grassland and Scrub,Winter Migrant,,,Grasshopper Warbler,Locustella naevia
Long-billed Bush Warbler,Locustella major,lbbwar1,Passeriformes,Locustellidae (Grassbirds and Allies),Near Threatened,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,1,Long-billed Bush Warbler,Locustella major
Chinese Bush Warbler,Locustella tacsanowskia,chbwar1,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Uncertain,,1,Chinese Bush Warbler,Locustella tacsanowskia
Baikal Bush Warbler,Locustella davidi,spobuw1,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,Baikal Bush Warbler,Locustella davidi
West Himalayan Bush Warbler,Locustella kashmirensis,spobuw2,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Western Himalayas,Grassland and Scrub,Resident & Altitudinal Migrant,,,West Himalayan Bush Warbler,Locustella kashmirensis
Spotted Bush Warbler,Locustella thoracica,spobuw3,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Resident & Winter Migrant,,,Spotted Bush Warbler,Locustella thoracica
Russet Bush Warbler,Locustella mandelli,rubwar1,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,,,Russet Bush Warbler,Locustella mandelli
Broad-tailed Grassbird,Schoenicola platyurus,brtgra2,Passeriformes,Locustellidae (Grassbirds and Allies),Vulnerable,Schedule-IV,,Appendix II,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Grassland and Scrub,Resident & Altitudinal Migrant,,,Broad-tailed Grassbird,Schoenicola platyurus
Bristled Grassbird,Schoenicola striatus,brigra2,Passeriformes,Locustellidae (Grassbirds and Allies),Vulnerable,Schedule-IV,,Appendix II,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wetland,Local Migrant,,,Bristled Grassbird,Schoenicola striatus
Striated Grassbird,Megalurus palustris,strgra1,Passeriformes,Locustellidae (Grassbirds and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,,,Striated Grassbird,Megalurus palustris
Scaly-breasted Cupwing,Pnoepyga albiventer,sbwbab1,Passeriformes,Pnoepygidae (Cupwings),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident & Altitudinal Migrant,,,Scaly-breasted Wren Babbler,Pnoepyga albiventer
Immaculate Cupwing,Pnoepyga immaculata,immwrb1,Passeriformes,Pnoepygidae (Cupwings),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,None,Resident & Altitudinal Migrant,,,Nepal Wren Babbler,Pnoepyga immaculata
Pygmy Cupwing,Pnoepyga pusilla,pywbab1,Passeriformes,Pnoepygidae (Cupwings),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Pygmy Wren Babbler,Pnoepyga pusilla
Gray-throated Martin,Riparia chinensis,gytmar1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,,,Grey-throated Martin,Riparia chinensis
Bank Swallow,Riparia riparia,banswa,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,Sand Martin,Riparia riparia
Pale Sand Martin,Riparia diluta,pasmar1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident & Winter Migrant,,,Pale Martin,Riparia diluta
Eurasian Crag-Martin,Ptyonoprogne rupestris,eurcrm1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Local Migrant,,,Eurasian Crag Martin,Ptyonoprogne rupestris
Dusky Crag-Martin,Ptyonoprogne concolor,duscrm1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Low,Stable,Strong Increase,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Dusky Crag Martin,Ptyonoprogne concolor
Barn Swallow,Hirundo rustica,barswa,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Local Migrant,,,Barn Swallow,Hirundo rustica
Wire-tailed Swallow,Hirundo smithii,witswa1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Wire-tailed Swallow,Hirundo smithii
Hill Swallow,Hirundo domicola,pacswa3,Passeriformes,Hirundinidae (Swallows),Not Evaluated,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,Yes,No,Western Ghats & Sri Lanka,None,Resident,,,Hill Swallow,Hirundo domicola
Pacific Swallow,Hirundo tahitica,pacswa1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Pacific Swallow,Hirundo tahitica
Red-rumped Swallow,Cecropis daurica,rerswa1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Winter Migrant,,,Red-rumped Swallow,Cecropis daurica
Striated Swallow,Cecropis striolata,strswa2,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Striated Swallow,Cecropis striolata
Streak-throated Swallow,Petrochelidon fluvicola,sttswa2,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Low,Stable,Strong Increase,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident,,,Streak-throated Swallow,Petrochelidon fluvicola
Common House-Martin,Delichon urbicum,cohmar1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant & Localized Summer Migrant,,,Northern House Martin,Delichon urbicum
Asian House-Martin,Delichon dasypus,ashmar1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Local Migrant,,,Asian House Martin,Delichon dasypus
Nepal House-Martin,Delichon nipalense,nephom1,Passeriformes,Hirundinidae (Swallows),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Local Migrant,,,Nepal House Martin,Delichon nipalense
Gray-headed Bulbul,Brachypodius priocephalus,gyhbul1,Passeriformes,Pycnonotidae (Bulbuls),Near Threatened,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,,,Grey-headed Bulbul,Brachypodius priocephalus
Black-headed Bulbul,Brachypodius melanocephalos,blhbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,,1,Black-headed Bulbul,Brachypodius melanocephalos
Andaman Bulbul,Brachypodius fuscoflavescens,andbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman Islands,Tropical Forest,Resident,,,Andaman Bulbul,Brachypodius fuscoflavescens
Black-crested Bulbul,Rubigula flaviventris,blcbul2,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,,,Black-crested Bulbul,Rubigula flaviventris
Flame-throated Bulbul,Rubigula gularis,bkcbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,,,Flame-throated Bulbul,Rubigula gularis
Crested Finchbill,Spizixos canifrons,crefin1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,,,Crested Finchbill,Spizixos canifrons
Striated Bulbul,Pycnonotus striatus,strbul2,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Striated Bulbul,Pycnonotus striatus
Red-vented Bulbul,Pycnonotus cafer,revbul,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,,,Red-vented Bulbul,Pycnonotus cafer
Red-whiskered Bulbul,Pycnonotus jocosus,rewbul,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,,,Red-whiskered Bulbul,Pycnonotus jocosus
