eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
Red-crested Pochard,Netta rufina,recpoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Red-crested Pochard,Netta rufina
Common Pochard,Aythya ferina,compoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vulnerable,Schedule-IV,,Appendix II,Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Common Pochard,Aythya ferina
Ferruginous Duck,Aythya nyroca,ferduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Near Threatened,Schedule-IV,,Appendix I,Low,Uncertain,Strong Increase,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Ferruginous Duck,Aythya nyroca
Baer's Pochard,Aythya baeri,baepoc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Critically Endangered,Schedule-IV,,Appendix I,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,1,,Baer's Pochard,Aythya baeri
Tufted Duck,Aythya fuligula,tufduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Omnivore,No,No,No,None,Wetland,Winter Migrant,,,Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila,gresca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,1,Greater Scaup,Aythya marila
Long-tailed Duck,Clangula hyemalis,lotduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vulnerable,Schedule-IV,,Appendix II,NA,NA,NA,NA,No information,No information,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,1,Long-tailed Duck,Clangula hyemalis
Common Goldeneye,Bucephala clangula,comgol,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,1,Common Goldeneye,Bucephala clangula
Smew,Mergellus albellus,smew,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,1,Smew,Mergellus albellus
Common Merganser,Mergus merganser,commer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,,,Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator,rebmer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant,,1,Red-breasted Merganser,Mergus serrator
White-headed Duck,Oxyura leucocephala,whhduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Endangered,Schedule-IV,Appendix II,Appendix I,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,1,White-headed Duck,Oxyura leucocephala
Nicobar Scrubfowl,Megapodius nicobariensis,nicscr1,Galliformes,Megapodiidae (Megapodes),Vulnerable,Schedule-I,,,High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Invertebrate,Yes,Yes,No,Nicobar Islands,Tropical Forest,Resident,,,Nicobar Megapode,Megapodius nicobariensis
Hill Partridge,Arborophila torqueola,hilpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Temperate Forest,Resident,,,Hill Partridge,Arborophila torqueola
Chestnut-breasted Partridge,Arborophila mandellii,chbpar2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Vulnerable,Schedule-IV,,,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,Yes,Eastern Himalayas,Forest,Resident,1,,Chestnut-breasted Partridge,Arborophila mandellii
Rufous-throated Partridge,Arborophila rufogularis,rutpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Temperate Forest,Resident,,,Rufous-throated Partridge,Arborophila rufogularis
White-cheeked Partridge,Arborophila atrogularis,whcpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Near Threatened,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident,,,White-cheeked Partridge,Arborophila atrogularis
Snow Partridge,Lerwa lerwa,snopar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Resident & Altitudinal Migrant,,,Snow Partridge,Lerwa lerwa
Blood Pheasant,Ithaginis cruentus,blophe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,Appendix II,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,1,,Blood Pheasant,Ithaginis cruentus
